region,base_block,big_group,plot_order,side,n_cells,n_dca_cells,mean_DCA,median_DCA,mean_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,mean_PreDCA,mean_PreDCA_negative,mean_PreDCA_positive,mean_Log10_OutInput_degree,mean_OO_fraction,n_postdca_cells,n_predca_cells,n_oo_cells,mean_mapping_confidence,unit
MB_PED_L,MB,mushroom body,27,L,24.0,24.0,0.014807320438787443,0.0,0.012469073840912533,0.07051009806255845,0.02291424740848321,0.02663980024681867,0.002360172803327376,0.02899997305014605,-0.27050127538013563,0.1497887529137529,22.0,24.0,22.0,0.5388074295555266,ito48
MB_VL_L,MB,mushroom body,28,L,9.0,9.0,0.03548203573312016,0.0,-0.012576780647345277,0.11618594489622747,0.08777418536461844,0.046515664494454184,0.016791192827265745,0.06330685732171992,-0.33695764009452445,0.15507246376811595,8.0,8.0,8.0,0.3602689217588303,ito48
AME_L,AME,optic/lateral protocerebrum,29,L,24.0,24.0,0.00938284868338836,0.0,0.0009690628463992271,0.0037725484066030036,0.0022133410811217735,-0.05187376278538143,0.052776728054961974,0.0009029652695805414,-0.07056845960811951,0.12244518766257896,23.0,19.0,23.0,0.7044327766271429,ito48
AOTU_L,AOTU,optic/lateral protocerebrum,30,L,601.0,601.0,0.01673443059154703,0.0134054593417428,-0.0015333589322050728,0.02755867826006977,0.011212631681507977,-0.020331519759939704,0.03303873640772762,0.01270721664778792,-0.40586794442255497,0.529275773736896,519.0,591.0,519.0,0.8918257234286342,ito48
AVLP_L,AVLP,optic/lateral protocerebrum,31,L,2005.0,2005.0,0.0025588138708559425,0.0006125545526105,-0.005665498976547219,0.017506590080857108,0.005818953755108602,0.0009018143313364175,0.01324324694825127,0.014145061279587685,-0.0014042269185820103,0.34735140668462433,1788.0,1632.0,1788.0,0.7483254036878222,ito48
ICL_L,ICL,optic/lateral protocerebrum,32,L,566.0,566.0,0.0018436013109097025,5.873659349928741e-26,0.004285002349058891,0.014131625992980302,0.00510105467407668,-0.008868911377059717,0.019186372003342316,0.0103174606262826,-0.11206139945330787,0.2761837283357335,525.0,529.0,525.0,0.5842391617747914,ito48
IVLP_L,IVLP,optic/lateral protocerebrum,33,L,,,,,,,,,,,,,,,,,ito48
ME_L,ME,optic/lateral protocerebrum,34,L,36515.0,36515.0,0.0005390230409539235,-1.558948327760365e-07,-0.007525464560619596,0.013740716782674437,0.005480553501745259,-0.06934633813583503,0.08316213604551992,0.013815797909684884,0.22178703092078345,0.28508966025491644,17370.0,8639.0,17370.0,0.994461520538547,ito48
PLP_L,PLP,optic/lateral protocerebrum,35,L,2059.0,2059.0,0.0003905629049024432,2.377930435305477e-08,-0.003964087838005632,0.024762749236781196,0.01229278952833499,-0.009255271541992889,0.015335420826778723,0.006080149284785834,-0.04894072959107215,0.34959308342770956,1985.0,1954.0,1985.0,0.7700866608891362,ito48
PVLP_L,PVLP,optic/lateral protocerebrum,36,L,1481.0,1481.0,0.009306012744395742,0.001303396213092,0.00931782930416943,0.02108772281739994,0.01408356363088675,-0.031545909140880755,0.03701105985373959,0.005465150712858831,-0.2677331877211652,0.46906856168504224,1466.0,1464.0,1466.0,0.8244799690086044,ito48
SIP_L,SIP,superior protocerebrum,37,L,390.0,390.0,0.004623004697077775,0.0,0.010544627094206102,0.026564468898378057,0.00976128597360946,0.002419202341018956,0.014193888296616376,0.016613090637635334,-0.030800812472045077,0.22468035426220098,367.0,371.0,367.0,0.6560311035244403,ito48
SMP_L,SMP,superior protocerebrum,38,L,2354.0,2354.0,0.0031532077074873112,8.516569169664468e-05,0.011035003700357473,0.02832020251885323,0.0032393342661994383,-0.002902292351306564,0.014549689982957227,0.011647397631650663,-0.09118454451164534,0.3542849313792078,1918.0,2065.0,1918.0,0.7231721053743015,ito48
SPS_L,SPS,superior protocerebrum,39,L,1212.0,1212.0,0.003125166345886857,0.00046227830697389996,-0.003695051641943848,0.017408104487802768,0.006780039474313931,-0.003971869758234588,0.015141676676324059,0.011169806918089472,-0.12407637349594373,0.434056145794664,1090.0,1104.0,1090.0,0.6950357408655378,ito48
ATL_L,ATL,inferior/ventrolateral protocerebrum,40,L,42.0,42.0,-0.006360124099418708,0.0,-0.025225968526103437,0.0081194081525083,0.0006442997330360781,0.027014833296070618,0.004283410881827355,0.03129824417789797,-0.15284473711030006,0.17640359189578592,38.0,41.0,38.0,0.4375515151095835,ito48
CRE_L,CRE,inferior/ventrolateral protocerebrum,41,L,704.0,704.0,0.0003089837026198708,7.844447145871609e-20,-0.0049864930875445435,0.020775665270186688,0.004126166236454644,-0.010358700051660112,0.02640754781871835,0.016048847767058238,-0.04716678586850554,0.2945235122547201,675.0,694.0,675.0,0.6330252132147755,ito48
EPA_L,EPA,inferior/ventrolateral protocerebrum,42,L,11.0,11.0,-0.03695817218683622,0.0,0.04462938875036894,0.06412710403649452,0.012118840591698531,-0.08493053570163672,0.09253295118943382,0.0076024154877971095,0.12028028480675679,0.10991735537190082,11.0,11.0,11.0,0.4958012371726422,ito48
IB_L,IB,inferior/ventrolateral protocerebrum,43,L,128.0,128.0,0.006526175683855168,0.0,0.02833032923853502,0.03561465283861482,0.011546790282776939,-0.006711058089570979,0.015241130775047552,0.008530072685476574,-0.026222759313861706,0.15092793693324769,116.0,114.0,116.0,0.5125734054859159,ito48
LAL_L,LAL,inferior/ventrolateral protocerebrum,44,L,678.0,678.0,0.00444471787200784,0.0001443163092578,0.01585258619494583,0.037231249127294204,0.018609187715549844,-0.004334679475695179,0.017501852556518697,0.01316717308082352,0.07356001110740248,0.420132672835049,673.0,648.0,673.0,0.6596443212903678,ito48
VES_L,VES,inferior/ventrolateral protocerebrum,45,L,590.0,590.0,0.004903276535505631,0.0006381048412725,0.005556477753682611,0.02561926914454139,0.015536708546387487,-0.00031742732155186755,0.014147284983356932,0.013829857661805065,0.041618049967336576,0.40078493198798293,570.0,494.0,570.0,0.7839261241043048,ito48
