region,base_block,big_group,plot_order,side,n_rois,n_cells,n_dca_cells,mean_DCA,median_DCA,mean_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,mean_PreDCA,mean_PreDCA_negative,mean_PreDCA_positive,mean_Log10_OutInput_degree,mean_OO_fraction,n_postdca_cells,n_predca_cells,n_oo_cells,mean_mapping_confidence,unit,side_key,weighted_mean_PostDCA_positive,mean_PostDCA_positive_figure15
LAL_R,LAL,inferior/ventrolateral protocerebrum,19,R,9,564,564,0.004686234778174885,0.00020686785398130002,-0.009054463137215007,0.023416134530816056,0.016167833436253488,-0.0014737150766218094,0.014884423823691546,0.013410708747069736,-0.009523823928532266,0.4092528730598157,558,549,558,0.572951818645014,matched41,LAL_R,0.023416134530816,0.023416134530816
VES_R,VES,inferior/ventrolateral protocerebrum,20,R,6,515,515,0.005919670463240947,0.0006108835195216,-0.002718082978190624,0.019789997453900622,0.015161606618654028,0.0012867964997239334,0.01273505339311506,0.014021849892838995,0.05341059138499083,0.37671549102273283,496,443,496,0.7041258231622811,matched41,VES_R,0.0197899974539006,0.0197899974539006
LH_L,LH,olfactory system,21,L,11,1973,1973,-0.003370112567205264,-0.0008003869546784,0.007387842115165569,0.015420739639468392,0.005842091335728234,-0.005944849331011297,0.015078303940135845,0.009133454609124549,0.14665766425643467,0.1937890192518078,1600,1381,1600,0.8518090925584685,matched41,LH_L,0.0154207396394683,0.0154207396394683
MB_L,MB,mushroom body,22,L,16,2472,2472,0.0043636591433225645,0.00282289302980635,-0.05695641671019864,0.1238445491944882,0.027041393398025505,0.08936745882352254,0.0029289683354983653,0.09229642715902091,-0.2692136224145317,0.3863794711483893,2145,2401,2145,0.4136311737999303,matched41,MB_L,0.1238445491944881,0.1238445491944881
AME_L,AME,optic/lateral protocerebrum,23,L,1,24,24,0.00938284868338836,0.0,0.0009690628463992271,0.0037725484066030036,0.0022133410811217735,-0.05187376278538143,0.052776728054961974,0.0009029652695805414,-0.07056845960811951,0.12244518766257896,23,19,23,0.7044327766271429,matched41,AME_L,0.003772548406603,0.003772548406603
AVLP_L,AVLP,optic/lateral protocerebrum,24,L,34,2005,2005,0.0025588138708559425,0.0006125545526105,-0.005665498976547219,0.017506590080857108,0.005818953755108602,0.0009018143313364175,0.01324324694825127,0.014145061279587685,-0.0014042269185820103,0.34735140668462433,1788,1632,1788,0.7483254036878222,matched41,AVLP_L,0.017506590080857,0.017506590080857
ICL_L,ICL,optic/lateral protocerebrum,25,L,8,566,566,0.0018436013109097025,5.873659349928741e-26,0.004285002349058891,0.014131625992980302,0.00510105467407668,-0.008868911377059717,0.019186372003342316,0.0103174606262826,-0.11206139945330787,0.2761837283357335,525,529,525,0.5842391617747914,matched41,ICL_L,0.0141316259929802,0.0141316259929802
ME_L,ME,optic/lateral protocerebrum,26,L,131,36515,36515,0.0005390230409539235,-1.558948327760365e-07,-0.007525464560619596,0.013740716782674437,0.005480553501745259,-0.06934633813583503,0.08316213604551992,0.013815797909684884,0.22178703092078345,0.28508966025491644,17370,8639,17370,0.994461520538547,matched41,ME_L,0.0137407167826744,0.0137407167826744
OTU_L,OTU,optic/lateral protocerebrum,27,L,4,601,601,0.01673443059154703,0.0134054593417428,-0.0015333589322050728,0.02755867826006977,0.011212631681507977,-0.020331519759939704,0.03303873640772762,0.01270721664778792,-0.40586794442255497,0.529275773736896,519,591,519,0.8918257234286342,matched41,OTU_L,0.0275586782600697,0.0275586782600697
PLP_L,PLP,optic/lateral protocerebrum,28,L,13,2059,2059,0.0003905629049024432,2.377930435305477e-08,-0.003964087838005632,0.024762749236781196,0.01229278952833499,-0.009255271541992889,0.015335420826778723,0.006080149284785834,-0.04894072959107215,0.34959308342770956,1985,1954,1985,0.7700866608891362,matched41,PLP_L,0.0247627492367811,0.0247627492367811
PVLP_L,PVLP,optic/lateral protocerebrum,29,L,11,1481,1481,0.009306012744395742,0.001303396213092,0.00931782930416943,0.02108772281739994,0.01408356363088675,-0.031545909140880755,0.03701105985373959,0.005465150712858831,-0.2677331877211652,0.46906856168504224,1466,1464,1466,0.8244799690086044,matched41,PVLP_L,0.0210877228173999,0.0210877228173999
SIP_L,SIP,superior protocerebrum,30,L,7,390,390,0.004623004697077775,0.0,0.010544627094206102,0.026564468898378057,0.00976128597360946,0.002419202341018956,0.014193888296616376,0.016613090637635334,-0.030800812472045077,0.22468035426220098,367,371,367,0.6560311035244403,matched41,SIP_L,0.026564468898378,0.026564468898378
SMP_L,SMP,superior protocerebrum,31,L,22,2354,2354,0.0031532077074873112,8.516569169664468e-05,0.011035003700357473,0.02832020251885323,0.0032393342661994383,-0.002902292351306564,0.014549689982957227,0.011647397631650663,-0.09118454451164534,0.3542849313792078,1918,2065,1918,0.7231721053743015,matched41,SMP_L,0.0283202025188532,0.0283202025188532
SPS_L,SPS,superior protocerebrum,32,L,15,1212,1212,0.003125166345886857,0.00046227830697389996,-0.003695051641943848,0.017408104487802768,0.006780039474313931,-0.003971869758234588,0.015141676676324059,0.011169806918089472,-0.12407637349594373,0.434056145794664,1090,1104,1090,0.6950357408655378,matched41,SPS_L,0.0174081044878027,0.0174081044878027
ATL_L,ATL,inferior/ventrolateral protocerebrum,33,L,1,42,42,-0.006360124099418708,0.0,-0.025225968526103437,0.0081194081525083,0.0006442997330360781,0.027014833296070618,0.004283410881827355,0.03129824417789797,-0.15284473711030006,0.17640359189578592,38,41,38,0.4375515151095835,matched41,ATL_L,0.0081194081525082,0.0081194081525082
CRE_L,CRE,inferior/ventrolateral protocerebrum,34,L,10,704,704,0.0003089837026198708,7.844447145871609e-20,-0.0049864930875445435,0.020775665270186688,0.004126166236454644,-0.010358700051660112,0.02640754781871835,0.016048847767058238,-0.04716678586850554,0.2945235122547201,675,694,675,0.6330252132147755,matched41,CRE_L,0.0207756652701866,0.0207756652701866
EPA_L,EPA,inferior/ventrolateral protocerebrum,35,L,1,11,11,-0.03695817218683622,0.0,0.04462938875036894,0.06412710403649452,0.012118840591698531,-0.08493053570163672,0.09253295118943382,0.0076024154877971095,0.12028028480675679,0.10991735537190082,11,11,11,0.4958012371726422,matched41,EPA_L,0.0641271040364944,0.0641271040364944
IB_L,IB,inferior/ventrolateral protocerebrum,36,L,3,128,128,0.006526175683855168,0.0,0.02833032923853502,0.03561465283861482,0.011546790282776939,-0.006711058089570979,0.015241130775047552,0.008530072685476574,-0.026222759313861706,0.15092793693324769,116,114,116,0.5125734054859159,matched41,IB_L,0.0356146528386148,0.0356146528386148
LAL_L,LAL,inferior/ventrolateral protocerebrum,37,L,5,678,678,0.00444471787200784,0.0001443163092578,0.01585258619494583,0.037231249127294204,0.018609187715549844,-0.004334679475695179,0.017501852556518697,0.01316717308082352,0.07356001110740248,0.420132672835049,673,648,673,0.6596443212903678,matched41,LAL_L,0.0372312491272941,0.0372312491272941
VES_L,VES,inferior/ventrolateral protocerebrum,38,L,6,590,590,0.004903276535505631,0.0006381048412725,0.005556477753682611,0.02561926914454139,0.015536708546387487,-0.00031742732155186755,0.014147284983356932,0.013829857661805065,0.041618049967336576,0.40078493198798293,570,494,570,0.7839261241043048,matched41,VES_L,0.0256192691445413,0.0256192691445413
NO,NO,central complex,39,midline,1,551,551,-0.00589634669030912,-2.19007819851588e-06,0.0006600283274300072,0.0034522715914942085,2.9773609147982616e-06,0.014670257704999839,0.00897132070882983,0.02364157841382967,0.07155619672315025,0.030870293985014043,423,339,423,0.8673370857574221,matched41,NO,0.0034522715914941,0.0034522715914941
PB,PB,central complex,40,midline,1,225,225,-0.010630774528112334,-0.0012108423767231,-0.009404044569384798,0.0033217601035986513,0.0003807412547167832,0.0041013617291194735,0.0017352630655981971,0.005836624794717671,0.23532160352256568,0.12919242277297324,209,166,209,0.9048306619428226,matched41,PB,0.0033217601035986,0.0033217601035986
