,IL1L,IL1R,IL1VR,FLPL,URYDL,IL1VL,URYVR,URYDR,IL1DR,OLQDR,OLQVL,OLLR,FLPR,URYVL,IL1DL,OLLL,ADER,OLQDL,ADEL,ADLL,AQR,ASHL,ADLR,ASHR,IL2DL,ASGL,ASKL,ASGR,ASKR,IL2DR,CEPDL,OLQVR,BAGR,IL2VR,CEPVL,ASIR,IL2VL,AWAR,CEPVR,IL2L,AWAL,CEPDR,BAGL,URXR,ASIL,AWCR,ASER,IL2R,AWCL,URXL,ASEL,AWBR,AWBL,AVDR,AVDL,AVBR,SAAVR,SAAVL,RICL,AVER,AVBL,RICR,SAADR,RIAR,RIAL,SAADL,AVEL,AVJR,RMGL,ADAR,ALA,ADAL,RIMR,AVJL,RIML,AIBL,AVAL,AUAL,RIS,AIBR,AVAR,AVKR,RIBR,AVL,AVHL,AINL,RIBL,AIML,AINR,AIMR,RID,AVKL,URBL,AIZR,AIZL,URBR,AUAR,AIYL,RIR,RIH,AIYR,RMDDR,RMDVR,RMDVL,RMED,RMDDL,RMEV,URAVL,URADR,RIVL,URADL,URAVR,RIVR,SMDDR,RMER,SMBVR,SMDVR,RMEL,SMDVL,SMDDL,RMDR,RMDL
AIYR,4,4,3,4,4,3,4,3,3,3,4,4,4,4,3,4,3,4,3,3,1,3,1,0,4,4,1,2,1,4,4,3,0,3,3,2,4,1,3,4,2,4,4,4,2,2,1,3,3,3,3,2,4,3,3,0,0,1,3,3,2,3,1,2,2,1,3,4,0,1,0,2,3,4,2,4,3,3,1,4,2,1,0,0,2,3,3,2,3,3,3,0,3,4,4,2,2,3,0,4,0,4,4,4,0,3,2,2,1,4,2,2,4,0,4,0,3,4,4,2,1,4
RMDDR,11,10,8,12,9,8,9,8,10,10,11,11,7,11,10,10,7,11,11,6,4,5,4,0,10,11,3,8,3,11,12,8,0,10,10,5,7,7,8,9,7,11,5,9,3,7,5,7,11,9,10,6,12,8,11,1,3,6,11,9,3,8,4,5,7,3,10,10,5,1,1,10,5,11,6,12,10,11,3,11,10,1,2,2,5,9,7,2,7,3,10,0,10,11,11,6,6,3,2,11,4,0,10,10,3,11,4,4,3,12,6,2,11,2,11,2,10,11,11,5,4,11
RMDVR,12,10,9,12,9,7,10,10,12,12,12,14,8,13,11,13,7,13,11,7,3,6,5,0,13,11,2,9,2,12,14,9,0,10,13,5,9,7,9,12,8,13,5,11,4,8,7,9,13,11,11,8,14,10,12,2,3,9,12,10,3,8,3,5,10,2,10,11,4,1,1,9,5,13,5,12,12,12,2,12,11,1,3,4,4,9,6,2,10,3,11,1,12,12,11,8,6,3,2,11,4,10,0,12,2,12,5,6,4,14,8,2,12,2,14,2,9,13,12,5,4,11
RMDVL,13,11,10,13,11,8,10,10,13,12,13,14,9,13,11,13,8,13,12,7,3,6,5,0,12,12,3,9,3,12,14,11,0,12,13,6,9,6,8,12,9,13,6,11,4,7,7,8,13,11,11,8,14,10,12,1,3,8,13,10,3,10,3,6,9,2,10,11,4,1,2,9,5,13,5,13,13,13,2,13,11,1,2,3,5,9,8,2,11,3,12,1,11,13,12,8,6,3,4,11,4,10,12,0,2,13,5,6,4,14,7,2,12,3,13,2,9,13,12,4,4,11
RMED,3,3,3,3,1,3,2,2,2,3,3,3,0,2,3,3,1,3,3,0,0,1,0,0,2,2,2,1,2,3,3,1,0,3,3,0,1,2,2,1,2,3,0,3,0,1,0,0,3,3,2,0,3,2,3,0,0,2,3,3,0,1,0,2,2,0,3,2,1,0,1,3,1,3,2,3,2,3,0,2,3,0,0,0,1,2,1,0,0,0,3,0,2,2,3,1,1,0,1,3,0,3,2,2,0,3,0,1,1,3,2,0,2,0,2,1,3,3,3,1,1,3
RMDDL,14,12,11,15,12,10,11,11,14,14,15,15,8,15,13,14,8,15,15,9,4,6,5,0,14,14,3,12,3,14,16,11,0,13,13,5,10,9,10,13,11,15,6,12,4,10,7,10,15,14,13,9,16,10,14,1,4,10,15,13,3,9,3,8,11,2,12,12,6,1,2,12,5,15,6,15,15,15,2,15,14,2,2,4,5,12,9,3,10,4,14,2,13,15,14,8,6,2,4,12,3,11,12,13,3,0,5,6,4,16,8,1,14,4,15,2,12,13,14,6,5,13
RMEV,4,5,4,6,5,3,5,6,6,4,5,6,5,6,4,5,4,5,4,4,1,3,4,0,5,6,0,4,0,5,6,4,0,5,5,3,4,3,2,5,2,5,2,5,4,3,3,4,6,4,6,3,6,4,5,0,3,3,5,4,2,3,2,3,5,2,3,5,2,0,0,4,4,5,3,5,5,6,1,6,5,2,1,2,3,3,4,1,5,2,3,1,6,6,5,4,4,2,0,3,2,4,5,5,0,5,0,4,2,6,2,1,6,1,6,1,4,4,5,2,1,5
URAVL,5,5,6,6,5,5,5,6,6,6,6,7,4,6,6,6,3,6,5,4,0,5,2,0,6,6,2,4,2,5,7,4,0,6,5,2,5,3,2,7,4,6,3,6,4,3,2,4,6,5,6,3,7,3,6,0,2,5,7,5,2,3,2,3,5,2,5,4,3,0,0,4,3,7,3,6,6,7,1,6,5,1,0,2,3,3,3,2,4,2,4,2,6,6,6,4,2,2,1,4,2,4,6,6,1,6,4,0,3,7,4,2,5,1,7,1,4,5,5,2,2,7
URADR,4,3,2,4,3,2,3,3,3,4,4,4,3,3,4,4,3,4,3,3,1,2,2,0,4,3,2,2,2,4,4,3,0,3,3,1,2,2,3,3,2,4,1,4,3,2,2,2,3,4,4,3,4,3,3,0,1,4,4,4,1,2,0,2,3,0,3,3,1,0,0,3,2,3,2,3,4,4,0,3,3,0,1,1,3,3,1,1,2,1,4,0,4,3,3,3,1,1,0,3,1,3,4,4,1,4,2,3,0,4,3,1,3,0,4,2,3,3,4,1,1,3
RIVL,15,13,12,16,13,11,12,13,16,16,16,17,9,17,15,16,8,17,15,9,4,7,5,0,16,15,3,12,3,16,18,12,0,14,15,6,11,10,11,15,11,17,7,14,5,10,7,11,17,15,14,10,18,12,16,2,4,11,16,14,4,10,4,8,12,3,12,14,6,1,2,12,7,17,7,16,16,16,3,16,14,2,3,5,6,12,10,3,11,4,14,2,15,16,15,9,7,3,4,14,4,12,14,14,3,16,6,7,4,0,8,2,16,4,17,2,12,15,16,6,5,14
