neuron,cell_class,PostDCA,DCA,FCV_z,n_recordings
URAVR,Motorneuron,-0.0013429276087223,0.0022496622459838,-0.7696873065017066,3
RIVR,Motorneuron,0.0015896290814413,-0.0110094780530451,1.1358231347419228,24
SMDDR,Motorneuron,0.0086064903028672,-0.1549068446343664,0.2494681448148691,4
RMER,Motorneuron,0.0165425285333535,-0.0106258542784451,0.611684953892022,27
SMBVR,Motorneuron,0.0167315089756697,-0.019011743398342,0.6396172924579965,3
SMDVR,Motorneuron,0.0272429850892385,-0.0729189447772274,0.3073574983196403,20
RMEL,Motorneuron,0.0301399143112491,-0.0067634046370507,0.8161266787036167,25
SMDVL,Motorneuron,0.0349045528076153,-0.0665527572019656,0.7363899833662851,23
SMDDL,Motorneuron,0.0350538500780063,-0.1141495029343195,0.3042860781650889,7
RMDR,Motorneuron,0.0528293149581933,-0.0845324853499998,0.4152095326275589,14
RMDL,Motorneuron,0.0590642773616491,-0.0407138710223933,0.7987140135796993,25
