recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-12-12_4,932,IPS_R_932,IPS_R,IPS,R,679,2000,247,0.09720695104548262,0.3449314123952053,0.2202233907860101,0.20917076767699178,0.10160031,-0.32848793691484485,-0.02102610808975753,-0.6142728419548842,0.006069289746976389,-0.34431540236812774
2018-12-12_4,933,IPS_R_933,IPS_R,IPS,R,679,2000,247,0.1520522635037121,1.7949409105247078,0.2523145774614346,2.016950728617288,0.107578784,-0.12412284288500415,0.018174955713395086,0.5309770905206121,0.003997203870038259,-0.6244085852767852
2018-12-12_4,934,IPS_R_934,IPS_R,IPS,R,679,2000,247,0.15761728236735048,1.9420698053722147,0.25368896969850396,2.094373815827354,0.1054367,-0.19734685324887155,0.019710300815810936,0.5758318394554338,0.004530867628945421,-0.5522708507847275
2018-12-12_4,935,IPS_R_935,IPS_R,IPS,R,679,2000,247,0.11208766137047184,0.7383501084156069,0.22190758352296092,0.3040457223184311,0.08606039,-0.8596967979760408,-0.019933562776606784,-0.5823543855477985,0.006505290492087562,-0.28537921743104894
2018-12-12_4,936,IPS_R_936,IPS_R,IPS,R,679,2000,247,0.08498564709742776,0.02182254474669735,0.21537357785220346,-0.06403180113791669,0.099914186,-0.38612561869340284,-0.021695843493912074,-0.6338390055221789,0.004930970263962547,-0.49818717511309707
2018-12-12_4,937,IPS_R_937,IPS_R,IPS,R,679,2000,247,0.0743020882913968,-0.2606311609253821,0.20143217320749854,-0.8493873630547977,0.10029077,-0.3732527242848294,-0.04699401933820726,-1.3729193101516226,0.010794467054113263,0.29440810156280695
2018-12-12_4,938,IPS_R_938,IPS_R,IPS,R,679,2000,247,0.1574487576767688,1.9376143215567314,0.24842759569320472,1.7979869420731336,0.08681654,-0.8338488797140966,0.033486151501844065,0.9782901030167191,0.0036697585818399442,-0.6686708400513961
2018-12-12_4,916,IVLP_R_916,IVLP_R,IVLP,R,679,2000,247,0.14381859764529714,1.577257882312971,0.24599235023001104,1.6608032351302033,0.10637628,-0.16522854363802184,-0.01844036342317903,-0.5387309148360658,0.002183299018611629,-0.8696022758395969
2018-12-12_4,917,IVLP_R_917,IVLP_R,IVLP,R,679,2000,247,0.0666367085438699,-0.4632897463632659,0.20137355912937505,-0.8526892464326966,0.08214265,-0.9936188078458605,0.07106554959035288,2.0761634500117907,0.013300435245424928,0.6331511115820262
2018-12-12_4,918,IVLP_R_918,IVLP_R,IVLP,R,679,2000,247,0.06950953835903059,-0.38733739361360836,0.20677990554580566,-0.5481356999286275,0.06806969,-1.4746818568246562,0.058770511526021016,1.7169667816849656,0.00846743276898606,-0.020147606245008165
2018-12-12_4,919,IVLP_R_919,IVLP_R,IVLP,R,679,2000,247,0.07055465591421588,-0.35970640176111945,0.2034194077439226,-0.737441276144057,0.11638399,0.17686994964166983,-0.04948023741015379,-1.445553591030172,0.014981134763056328,0.8603388370743902
2018-12-12_4,920,IVLP_R_920,IVLP_R,IVLP,R,679,2000,247,0.16105180798882335,2.032872365326589,0.24940274954392133,1.8529198932285131,0.073402554,-1.2923858915992572,0.04968351831901434,1.451492395352298,0.0040025370020658575,-0.6236876817944018
2018-12-12_4,974,LAL_R_974,LAL_R,LAL,R,679,2000,247,0.1624071878328698,2.068706123205851,0.2501406171513088,1.8944858935124338,0.1042598,-0.23757744983150583,0.01631601746427582,0.4766686433067704,0.002277371682618604,-0.8568860500404298
2018-12-12_4,975,LAL_R_975,LAL_R,LAL,R,679,2000,247,0.15308094138356837,1.822137267504957,0.23028380681605548,0.775900152968506,0.06926882,-1.4336912745480686,0.008860429890376892,0.2588553918998987,0.003904575586735187,-0.6369295676291479
2018-12-12_4,976,LAL_R_976,LAL_R,LAL,R,679,2000,247,0.10540066564840107,0.5615582026654363,0.2231376152040397,0.37333660416914227,0.09851135,-0.43407934067263376,-0.0034407105332564638,-0.1005195554300951,0.006446549138583612,-0.2933195508189664
2018-12-12_4,977,LAL_R_977,LAL_R,LAL,R,679,2000,247,0.1519490513501086,1.7922121704311686,0.24025565369255047,1.3376402076202645,0.09202861,-0.6556821531133851,0.007847968477942599,0.22927656796677962,0.002729892916730712,-0.7957167161788882
2018-12-12_4,978,LAL_R_978,LAL_R,LAL,R,679,2000,247,0.10186163964030613,0.4679928440985893,0.21794956040870322,0.08107999209278456,0.09612315,-0.5157164232309932,-0.023340631518128346,-0.6818911038817826,0.008884133591650824,0.036179721227199244
2018-12-12_4,979,LAL_R_979,LAL_R,LAL,R,679,2000,247,0.056018849353048655,-0.7440064746746985,0.21501690131595008,-0.08412431754430533,0.09236796,-0.64408192911791,0.006588658808310211,0.19248612979514393,0.0122712192963997,0.4940273550469884
