roi,label,atlas_region,base_region,side,n_recordings,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z,FCS,FCV,Metastability,NetTE,NeighborNetTE
296,GOR_L_296,GOR_L,GOR,L,20,0.4009554428095434,-0.0846139855910243,-0.09138910899759205,-0.13919968260407875,0.07775811676258151,0.06194953354549576,0.23774375069619094,0.018661084,-0.0004642778597757526,0.0001260685038025835
297,SCL_R_297,SCL_R,SCL,R,20,0.435557167738369,0.28825838039592566,0.20515453760261435,-0.1903100124211937,-0.24476159114671242,0.06125643916972007,0.23931287775683172,0.018695394,-0.0005869335541808609,-1.8775813909927264e-05
298,SCL_R_298,SCL_R,SCL,R,20,0.10823285950879283,0.4293806668217778,0.22075116260911662,-0.24656709225162504,-0.10584701044968152,0.05567760067512155,0.2400833438763374,0.018728467,-0.0006763748255844769,-9.601898689967194e-05
299,SCL_R_299,SCL_R,SCL,R,20,0.32542524589617905,0.2583729071734899,0.03671279052868419,-0.02603612951532961,-0.17572728776835064,0.060746156051423514,0.24019040561997418,0.01873764,0.00044113863511055924,0.00016957133714824268
300,SCL_R_300,SCL_R,SCL,R,20,0.6335141664088555,0.35844293343414146,-0.11181785359552446,-0.3033703703419147,-0.26397871240527715,0.06679254513733303,0.2404551015879571,0.018437184,-8.434068204838211e-05,1.6474698903478848e-05
301,SCL_R_301,SCL_R,SCL,R,20,0.3237460607391182,0.46859123913765527,0.07167504597977753,-0.19466361632656332,-0.061233099008678016,0.059203164958631406,0.24061329942490173,0.018617615,-0.0007379378434620835,-1.3082903515052578e-06
302,SCL_R_302,SCL_R,SCL,R,20,1.167650799763599,0.909599405161274,-0.5227640356034653,-0.06984669803096841,-0.3825275075366031,0.0782706044782877,0.24365986176565468,0.017925557,-0.00031176236812743065,-5.5228225230343376e-05
303,SCL_L_303,SCL_L,SCL,L,20,0.3607772333579783,0.076621167201286,-0.02120161336591761,-0.4487239310090801,-0.14157231246809593,0.0619977821966072,0.23914868070597559,0.018536638,-0.0008961262390254486,0.00019366864170876835
304,SCL_L_304,SCL_L,SCL,L,20,-0.003797875743407825,0.24989646377912175,0.29269221190131633,-0.452652314008059,0.14414510134968708,0.05232045821012675,0.23979799415294925,0.018851588,-0.000950344468633476,-2.0490790363143002e-06
305,SCL_L_305,SCL_L,SCL,L,20,0.2275630748239826,0.2843117331190619,0.18487458210560165,0.28057887677988935,-0.15479360613656135,0.05755083311855168,0.2394840281641173,0.018802278,-0.00013183448532511907,-5.046995269951442e-05
306,SCL_L_306,SCL_L,SCL,L,20,0.39220785778741857,0.5264549704569987,0.01983561037193093,-0.3413931187831166,-0.1343964152750988,0.06381185332032051,0.24182128548611134,0.018420538,-0.0008084049890425719,8.110198303043073e-06
307,SCL_L_307,SCL_L,SCL,L,20,0.5717318147278763,0.4388715606824826,0.02012612944808728,-0.3171940535116661,-0.3888066974191037,0.06764164617603355,0.24117458142763853,0.018588137,-0.0004494987687399611,-3.376959204578676e-05
308,SCL_L_308,SCL_L,SCL,L,20,0.24869537562444863,0.11021707198097172,0.17247229263828692,-0.36110092606267397,0.047251698240177345,0.06022518886281891,0.23996972571109013,0.018902931,-0.0007478333647928118,0.0001358243847456064
309,SCL_L_309,SCL_L,SCL,L,20,-0.29741930479859535,-0.13788898137809355,0.6894081359144084,-0.06953344726958909,-0.0893761217364526,0.0470097736732802,0.23727217764475922,0.019260326,-0.0003336008415627693,0.0002966717272314019
310,SCL_L_310,SCL_L,SCL,L,20,1.4677362391239552,1.2086630761371144,-0.9388497377285727,0.16181786908418266,-0.3747221737037517,0.08543547625290138,0.24541856914711632,0.01784442,0.0001233832264135149,-6.91130443871573e-05
311,ICL_R_311,ICL_R,ICL,R,20,0.07296273568122837,-0.3204485280411143,0.2812663084024708,-0.1303812242198082,0.110419867427658,0.05345322945253609,0.23628117916424657,0.019138254,-0.0005115646858784011,0.00013834672561611764
312,ICL_R_312,ICL_R,ICL,R,20,0.27110877747273393,0.16590657087260802,0.1732891340787404,-0.09848185671193568,-0.11541915723943963,0.060193585699663224,0.24013698764833752,0.018674973,-0.00013805773929056735,3.141227529473325e-05
313,ICL_R_313,ICL_R,ICL,R,20,-0.05261513865067659,-0.3704862745713752,0.16352419180495673,0.02926566562690176,0.015545887724449694,0.05177983921904229,0.23577418298494193,0.019010417,-0.00023015155205155752,-3.055450079551346e-05
314,ICL_R_314,ICL_R,ICL,R,20,0.16698176403878967,-0.01715794165428786,0.31121097089776906,-0.09624428896812223,-0.07208881768846202,0.055698502232654754,0.2380874667475043,0.018892992,-0.0006686475047923788,0.00025589995539562716
315,ICL_R_315,ICL_R,ICL,R,20,-0.19883661393947513,-0.28099531068453143,0.2473893211313824,-0.33653849249062145,0.33722488899870157,0.04737635787743769,0.23611675133674312,0.01905239,-0.0005428738964484597,0.00025238514859403794
316,ICL_R_316,ICL_R,ICL,R,20,0.054426937053528815,0.11523672797663904,0.31589002946421985,-0.03279767038659191,0.09906123040447622,0.05539246535661464,0.23943549592238883,0.018824127,0.00027709684977045605,0.00022717110933233227
317,ICL_R_317,ICL_R,ICL,R,20,-0.17925740959856912,-0.264586326893659,0.2550425097129665,-0.16875711338237084,-0.6695910300644755,0.050403388206295606,0.23697681525969827,0.018866882,-0.0008046595820616242,-0.00020337793990694484
