recording_id,atlas_region,base_region,side,n_rois_total,n_present_rois,n_valid_regions,n_time,n_windows,FCS,FCV,FCS_z,FCV_z
2018-10-20_1,LO_R,LO,R,40,28,67,2000,247,0.06426266119185398,0.24543579887151604,-1.6014915288357903,-1.4331553140615392
2018-10-20_1,LOP_R,LOP,R,24,1,67,2000,247,0.05119379821484324,0.22158214452572558,-1.8779517563498316,-2.6086718677487153
2018-10-20_1,MB_R,MB,R,16,16,67,2000,247,0.1526218773193952,0.29050452751690786,0.26766947136392283,0.7878476319982929
2018-10-20_1,ME_R,ME,R,129,24,67,2000,247,0.06933875311166322,0.2432381883528547,-1.4941112977092383,-1.5414543405249346
2018-10-20_1,OTU_R,OTU,R,3,3,67,2000,247,0.17711042376185063,0.2866195051621655,0.7857029937046653,0.5963923512584544
2018-10-20_1,PLP_R,PLP,R,15,15,67,2000,247,0.1483487493538513,0.2664387056395152,0.17727523189343705,-0.3981246129610819
2018-10-20_1,PVLP_R,PVLP,R,17,17,67,2000,247,0.14050237444076277,0.2609081563820041,0.011292116342470416,-0.6706720435954971
2018-10-20_1,SCL_R,SCL,R,6,6,67,2000,247,0.17352658355462683,0.28558404536766846,0.7098900265929936,0.5453645250200149
2018-10-20_1,SIP_R,SIP,R,6,6,67,2000,247,0.18572142888088125,0.2941757088805373,0.9678611843995608,0.9687647527872018
2018-10-20_1,SLP_R,SLP,R,22,22,67,2000,247,0.17665654005021095,0.29727597509512493,0.7761014855699826,1.1215469723689153
2018-10-20_1,SMP_R,SMP,R,21,21,67,2000,247,0.20255048354614189,0.30423798472736596,1.3238649384972552,1.4646372784072081
2018-10-20_1,SPS_R,SPS,R,12,12,67,2000,247,0.1681726902170171,0.2804959108081003,0.5966331523870902,0.2946194477477907
2018-10-20_1,VES_R,VES,R,6,6,67,2000,247,0.145095693595958,0.2643890869627169,0.10845971699171501,-0.4991305489235947
2018-10-20_1,WED_R,WED,R,1,1,67,2000,247,0.0496370625084546,0.24282375482956095,-1.9108831221713651,-1.561877771667706
2018-10-20_1,EB,EB,midline,3,3,67,2000,247,0.15551060060042562,0.28647837623684075,0.32877785523049313,0.5894374677207627
2018-10-20_1,FB,FB,midline,13,13,67,2000,247,0.20289856654117525,0.3065368274702813,1.3312283261286022,1.5779250648170726
2018-10-20_1,FLA,FLA,midline,6,6,67,2000,247,0.09001949588301066,0.2619204599150718,-1.0566284913026303,-0.6207853661402633
2018-10-20_1,NO,NO,midline,1,1,67,2000,247,0.13206497855699476,0.2644714611433512,-0.16719352466209092,-0.4950711200609012
2018-10-20_1,PB,PB,midline,1,1,67,2000,247,0.15396374593998155,0.28160288844888004,0.2960555141890585,0.34917169883831484
2018-10-20_1,PRW,PRW,midline,7,7,67,2000,247,0.1555127005837022,0.2684410676368356,0.3288222785177706,-0.29944750293833045
2018-10-20_1,SAD,SAD,midline,20,20,67,2000,247,0.17478687210980476,0.2821467134511043,0.7365503153503807,0.37597158799393243
2018-10-20_1,SOG,SOG,midline,74,71,67,2000,247,0.20212816016506513,0.300207333035716,1.3149310612179261,1.2660053322493277
2018-10-31_1,AL_L,AL,L,22,22,67,2000,247,0.2861654482880551,0.26161865850582405,0.4644426093009176,1.3451333104499252
2018-10-31_1,AME_L,AME,L,1,1,67,2000,247,0.09047496302610193,0.20138198844886426,-1.6355586457139413,-1.4454897360466998
