atlas_region,base_region,side,n_recordings,n_rois_total,mean_present_rois,FCS,FCV,FCS_z,FCV_z
LH_R,LH,R,20,14,14.0,0.16453963750935413,0.23879349332654623,-0.08662031447398046,0.49714240751887806
LOP_L,LOP,L,20,22,0.0,,,,
LOP_R,LOP,R,20,24,0.55,0.02721453796716045,0.19089947102639193,-2.2540117692614903,-2.398001462881777
LO_L,LO,L,20,39,20.55,0.06218342466891539,0.2034230860027088,-1.537025088082611,-1.3058427373928043
LO_R,LO,R,20,40,25.95,0.06297143051497382,0.20964264915416408,-1.5657787022817296,-1.0323242277735218
MB_L,MB,L,20,16,16.0,0.2477434070530648,0.245751888046138,1.2514370226542122,0.8501921034898127
MB_R,MB,R,20,16,16.0,0.23520138819134356,0.25067324565920746,1.071157575882692,1.0418344498276038
ME_L,ME,L,20,131,14.75,0.051076924829577326,0.19874734264535335,-1.6937066280906954,-1.5755145458416426
ME_R,ME,R,20,129,21.15,0.062412760716884286,0.20888757841326963,-1.5723000141037158,-0.92316629937461
NO,NO,midline,20,1,1.0,0.10939152737824845,0.21753610647950766,-0.770371505015067,-0.5788197279518371
OTU_L,OTU,L,20,4,4.0,0.16763093435963924,0.23228711357641568,0.003140810060885174,0.12111763397465555
OTU_R,OTU,R,20,3,3.0,0.15470329657970877,0.23367710280034912,-0.1606659416151664,0.1231937930506184
PB,PB,midline,20,1,1.0,0.13126463707340574,0.24146873049095235,-0.5102215266610866,0.5520137143543158
PLP_L,PLP,L,20,13,13.0,0.2248196407598205,0.2383354682075464,0.8717048127376665,0.45453048947251345
PLP_R,PLP,R,20,15,14.95,0.20612835207288044,0.23536329870917924,0.5636073881739094,0.30862029856768125
PRW,PRW,midline,20,7,7.0,0.13316362620355032,0.2314173859990102,-0.476147148212652,0.18456405860433261
PVLP_L,PVLP,L,20,11,11.0,0.19976098777522527,0.23320149412515642,0.49909833118559793,0.3000578303379231
PVLP_R,PVLP,R,20,17,17.0,0.19426757546304277,0.22877429401942515,0.3815960387806737,0.02404387538295564
SAD,SAD,midline,20,20,20.0,0.21627274557616794,0.24001724352901183,0.8046896892185844,0.4721003664252055
SCL_L,SCL,L,20,8,8.0,0.21490293988916878,0.2389718749577916,0.7452906012695105,0.49121275550569543
SCL_R,SCL,R,20,6,6.0,0.20555066104501515,0.23663058185079047,0.6210997422698044,0.4376493582077071
SIP_L,SIP,L,20,7,7.0,0.1821644918202116,0.23310146165467746,0.3022619347089447,0.19987865021459159
SIP_R,SIP,R,20,6,6.0,0.19484261804360975,0.2367609914971005,0.5365682824437239,0.411073932367751
SLP_L,SLP,L,20,23,23.0,0.2161288172684459,0.23994327073593333,0.7614656503042141,0.6435424395387004
SLP_R,SLP,R,20,22,22.0,0.20901713223090987,0.23925671770734747,0.6462658953735371,0.6451123800263483
SMP_L,SMP,L,20,22,22.0,0.2203948815364488,0.24029646922205178,0.8502024282659584,0.5521224974812913
SMP_R,SMP,R,20,21,21.0,0.22484650494957892,0.2408083958308679,0.9243301692347545,0.5846160741317019
SOG,SOG,midline,20,74,69.3,0.18236883457362904,0.25820174124381257,0.2748157839175076,1.3876597527967516
SPS_L,SPS,L,20,15,15.0,0.22306290292219882,0.23674809872333497,0.8752789788500923,0.3576662714765584
SPS_R,SPS,R,20,12,12.0,0.21127860029261578,0.2343854298175918,0.6949682477813026,0.2811049710756352
VES_L,VES,L,20,6,6.0,0.22979530082870797,0.24429200277443255,0.9839677433766617,0.7157944318817664
VES_R,VES,R,20,6,6.0,0.22764180138853685,0.24130564100540242,0.9422268154552509,0.600542957041828
WED_L,WED,L,20,1,1.0,0.11581846365328854,0.22701994206086656,-0.8342921694761193,-0.30743868479283865
WED_R,WED,R,20,1,1.0,0.096710287698862,0.21613414925065205,-1.1265034211075204,-0.8115718406930116
