roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order
754,PVLP_R,PVLP,796,PVLP,R,0,PVLP_R_754,357
755,PVLP_R,PVLP,791,PVLP,R,0,PVLP_R_755,358
756,PVLP_R,PVLP,788,PVLP,R,0,PVLP_R_756,359
757,PVLP_R,PVLP,790,PVLP,R,0,PVLP_R_757,360
758,PVLP_R,PVLP,787,PVLP,R,0,PVLP_R_758,361
759,PVLP_R,PVLP,780,PVLP,R,0,PVLP_R_759,362
760,PVLP_R,PVLP,786,PVLP,R,0,PVLP_R_760,363
297,SCL_R,SCL,894,SCL,R,0,SCL_R_297,364
298,SCL_R,SCL,897,SCL,R,0,SCL_R_298,365
299,SCL_R,SCL,892,SCL,R,0,SCL_R_299,366
300,SCL_R,SCL,893,SCL,R,0,SCL_R_300,367
301,SCL_R,SCL,896,SCL,R,0,SCL_R_301,368
302,SCL_R,SCL,895,SCL,R,0,SCL_R_302,369
896,SIP_R,SIP,663,SIP,R,0,SIP_R_896,370
897,SIP_R,SIP,659,SIP,R,0,SIP_R_897,371
898,SIP_R,SIP,664,SIP,R,0,SIP_R_898,372
899,SIP_R,SIP,660,SIP,R,0,SIP_R_899,373
900,SIP_R,SIP,661,SIP,R,0,SIP_R_900,374
901,SIP_R,SIP,662,SIP,R,0,SIP_R_901,375
849,SLP_R,SLP,633,SLP,R,0,SLP_R_849,376
850,SLP_R,SLP,619,SLP,R,0,SLP_R_850,377
851,SLP_R,SLP,615,SLP,R,0,SLP_R_851,378
852,SLP_R,SLP,618,SLP,R,0,SLP_R_852,379
853,SLP_R,SLP,631,SLP,R,0,SLP_R_853,380
854,SLP_R,SLP,632,SLP,R,0,SLP_R_854,381
855,SLP_R,SLP,634,SLP,R,0,SLP_R_855,382
856,SLP_R,SLP,621,SLP,R,0,SLP_R_856,383
857,SLP_R,SLP,623,SLP,R,0,SLP_R_857,384
858,SLP_R,SLP,624,SLP,R,0,SLP_R_858,385
859,SLP_R,SLP,635,SLP,R,0,SLP_R_859,386
860,SLP_R,SLP,625,SLP,R,0,SLP_R_860,387
861,SLP_R,SLP,622,SLP,R,0,SLP_R_861,388
862,SLP_R,SLP,614,SLP,R,0,SLP_R_862,389
863,SLP_R,SLP,620,SLP,R,0,SLP_R_863,390
864,SLP_R,SLP,628,SLP,R,0,SLP_R_864,391
865,SLP_R,SLP,630,SLP,R,0,SLP_R_865,392
866,SLP_R,SLP,616,SLP,R,0,SLP_R_866,393
867,SLP_R,SLP,626,SLP,R,0,SLP_R_867,394
