recording_id,side_key,side,big_group,n_mapped_rois,weighted_mean_PostDCA_positive,n_present_rois,n_valid_sidekeys,n_time,n_windows,FCS,FCV,FCS_z,FCV_z
2018-11-03_3,NO,midline,central complex,1,0.0034522715914941,1,41,2000,247,0.16288924996445453,0.21300878135750428,-1.2933659248475802,-0.46353910971269435
2018-11-03_3,PB,midline,central complex,1,0.0033217601035986,1,41,2000,247,0.2120969033232986,0.21161027550395603,-0.851269577696743,-0.5166231620847757
2018-11-03_4,ATL_L,L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,1,41,2000,247,0.16660680569051295,0.21912482690193688,-0.03051201278825223,-1.0854484851136714
2018-11-03_4,CRE_L,L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,10,41,2000,247,0.21450396831863214,0.24739628390449547,0.7161126240054155,0.1893412649758086
2018-11-03_4,EPA_L,L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,1,41,2000,247,0.1004451430990841,0.21986356502701804,-1.0618450728595499,-1.052138005580602
2018-11-03_4,IB_L,L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,3,41,2000,247,0.21433560667224696,0.23791527341154023,0.7134881897762255,-0.23816747628985496
2018-11-03_4,LAL_L,L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,5,41,2000,247,0.24371105175875335,0.25596507888708325,1.171394875995864,0.5757172488323352
2018-11-03_4,VES_L,L,inferior/ventrolateral protocerebrum,6,0.0256192691445413,6,41,2000,247,0.22765898702102336,0.25662047816116484,0.9211740623403992,0.6052698918651894
2018-11-03_4,MB_L,L,mushroom body,16,0.1238445491944881,16,41,2000,247,0.23072474238364235,0.251245168727244,0.9689632915664714,0.36289153233099836
2018-11-03_4,LH_L,L,olfactory system,11,0.0154207396394683,11,41,2000,247,0.10933323281801052,0.2272852493291481,-0.923296850082631,-0.7174864495642583
2018-11-03_4,AME_L,L,optic/lateral protocerebrum,1,0.003772548406603,1,41,2000,247,0.052134410742171365,0.20558304080823123,-1.8149164662376682,-1.6960618719157
2018-11-03_4,AOTU_L,L,optic/lateral protocerebrum,4,0.0275586782600697,4,41,2000,247,0.1346259274609913,0.22669420831039194,-0.5290323902446221,-0.7441371111316687
2018-11-03_4,AVLP_L,L,optic/lateral protocerebrum,34,0.017506590080857,34,41,2000,247,0.09905381647419748,0.28810027201566657,-1.0835331787716418,2.024726927171746
2018-11-03_4,ICL_L,L,optic/lateral protocerebrum,8,0.0141316259929802,8,41,2000,247,0.15486195040602127,0.2304804721215775,-0.21359171584000955,-0.5734104910923391
2018-11-03_4,ME_L,L,optic/lateral protocerebrum,131,0.0137407167826744,17,41,2000,247,0.05268991912773404,0.18588305993911666,-1.8062571590084113,-2.5843547422348108
2018-11-03_4,PLP_L,L,optic/lateral protocerebrum,13,0.0247627492367811,13,41,2000,247,0.11734823208274836,0.24147009450736925,-0.7983584281264369,-0.07787685186414615
2018-11-03_4,PVLP_L,L,optic/lateral protocerebrum,11,0.0210877228173999,11,41,2000,247,0.11016181198387871,0.22125368938646628,-0.9103808946308575,-0.9894558351988653
2018-11-03_4,SIP_L,L,superior protocerebrum,7,0.026564468898378,7,41,2000,247,0.14721199621353717,0.2361518481398695,-0.33283978727166624,-0.3176821776782961
2018-11-03_4,SMP_L,L,superior protocerebrum,22,0.0283202025188532,22,41,2000,247,0.24166175974412854,0.23952301094759157,1.1394503552320148,-0.16567289875156677
2018-11-03_4,SPS_L,L,superior protocerebrum,15,0.0174081044878027,15,41,2000,247,0.19395684055636267,0.2530228992536022,0.3958224238996742,0.44305127270863537
2018-11-03_4,ATL_R,R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,1,41,2000,247,0.16077624809389787,0.2419139555142717,-0.12139919083836952,-0.05786269192847609
2018-11-03_4,CRE_R,R,inferior/ventrolateral protocerebrum,8,0.011210897585465,8,41,2000,247,0.2592833792394809,0.24481193031925294,1.4141375085731127,0.07281004195550145
2018-11-03_4,EPA_R,R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,1,41,2000,247,0.12665709681016002,0.21312354594624972,-0.6532511323137865,-1.3560525593580528
2018-11-03_4,IB_R,R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,4,41,2000,247,0.18701300182492447,0.25462346628059934,0.2875813343164221,0.5152225244471811
2018-11-03_4,LAL_R,R,inferior/ventrolateral protocerebrum,9,0.023416134530816,9,41,2000,247,0.2842114533949579,0.25595727839011173,1.8027182363461614,0.5753655162143807
2018-11-03_4,VES_R,R,inferior/ventrolateral protocerebrum,6,0.0197899974539006,6,41,2000,247,0.25130604235051607,0.26053828394969464,1.2897861706129086,0.7819278781022276
2018-11-03_4,MB_R,R,mushroom body,16,0.0541119400368117,16,41,2000,247,0.22159932493728468,0.26804372048357084,0.8267155860107878,1.1203559103917058
2018-11-03_4,AL_R,R,olfactory system,23,0.0669363001194896,23,41,2000,247,0.21417031252788665,0.2691199440343977,0.7109115720033664,1.1688839629528043
2018-11-03_4,LH_R,R,olfactory system,14,0.015880788129262,14,41,2000,247,0.14838841925556664,0.27814012035113805,-0.3145016148565157,1.5756132062153576
2018-11-03_4,AOTU_R,R,optic/lateral protocerebrum,3,0.0151695582829394,3,41,2000,247,0.21079634432887695,0.24377621705330071,0.6583178974949705,0.026108640773804034
2018-11-03_4,AVLP_R,R,optic/lateral protocerebrum,28,0.0220640996038256,28,41,2000,247,0.1277648088851846,0.2854550797135284,-0.6359840317110119,1.905452422377877
2018-11-03_4,ICL_R,R,optic/lateral protocerebrum,8,0.0142208345232401,8,41,2000,247,0.21182397591096006,0.25018798306226886,0.6743366972449178,0.3152219180790735
2018-11-03_4,LO_R,R,optic/lateral protocerebrum,40,0.0119475088678664,15,41,2000,247,0.050679504039938914,0.2214676220565564,-1.8375956632614447,-0.9798093859544744
2018-11-03_4,ME_R,R,optic/lateral protocerebrum,129,0.0062167920089693,20,41,2000,247,0.0465415946448025,0.21542211382978826,-1.9020977116023017,-1.2524077143981829
2018-11-03_4,PLP_R,R,optic/lateral protocerebrum,15,0.0182239601527843,15,41,2000,247,0.12677520663574476,0.2830867694898659,-0.6514100273131909,1.7986628219026037
2018-11-03_4,PVLP_R,R,optic/lateral protocerebrum,17,0.0190223107650327,17,41,2000,247,0.21661462586191912,0.24813906147286718,0.749013715326581,0.22283388725809675
2018-11-03_4,WED_R,R,optic/lateral protocerebrum,1,0.012935449669569,1,41,2000,247,0.11692178116075866,0.220232794260779,-0.8050059777362746,-1.0354890708409012
2018-11-03_4,SIP_R,R,superior protocerebrum,6,0.0113351905713117,6,41,2000,247,0.24674827080455608,0.24545584929536526,1.2187392789314146,0.10184502627066475
2018-11-03_4,SLP_R,R,superior protocerebrum,22,0.0215671447223606,22,41,2000,247,0.2222808669199418,0.23998566953283146,0.8373395145973692,-0.14481113622544958
2018-11-03_4,SMP_R,R,superior protocerebrum,21,0.0249790898738309,21,41,2000,247,0.25811224585545334,0.24317291052053722,1.3958817917517328,-0.0010950857288423244
2018-11-03_4,SPS_R,R,superior protocerebrum,12,0.0185531881136671,12,41,2000,247,0.16187439817260554,0.2510387168003102,-0.1042811433659978,0.3535823976685147
2018-11-03_4,NO,midline,central complex,1,0.0034522715914941,1,41,2000,247,0.11693199167687855,0.2223990442294271,-0.8048468154295493,-0.9378105799193206
2018-11-03_4,PB,midline,central complex,1,0.0033217601035986,1,41,2000,247,0.13283510539063043,0.2714144650033535,-0.5569478617356268,1.272346328275026
2018-11-03_5,ATL_L,L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,1,41,2000,247,0.06566757058155973,0.20122911702279384,-1.4047990436914393,-0.954052492210156
2018-11-03_5,CRE_L,L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,10,41,2000,247,0.27148790398364525,0.22434855996370903,1.0951012889248266,0.44080348726836294
2018-11-03_5,EPA_L,L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,1,41,2000,247,0.09612774243894742,0.19237626771384142,-1.0348288250101174,-1.4881678610610687
2018-11-03_5,IB_L,L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,3,41,2000,247,0.2102025214973579,0.21255348484210898,0.3507270790031922,-0.2708239989045747
2018-11-03_5,LAL_L,L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,5,41,2000,247,0.29326195439030806,0.23358672258702948,1.3595695994861587,0.9981658081281313
2018-11-03_5,VES_L,L,inferior/ventrolateral protocerebrum,6,0.0256192691445413,6,41,2000,247,0.2901407425966238,0.2456938312962973,1.321659261512146,1.7286190902628848
2018-11-03_5,MB_L,L,mushroom body,16,0.1238445491944881,16,41,2000,247,0.287679425147224,0.23208383047523012,1.2917640212862527,0.9074924275448774
2018-11-03_5,LH_L,L,olfactory system,11,0.0154207396394683,11,41,2000,247,0.21195835913131358,0.22494308567283405,0.37205353889464954,0.4766727658857618
2018-11-03_5,AME_L,L,optic/lateral protocerebrum,1,0.003772548406603,1,41,2000,247,0.07615253011250417,0.1891928052745452,-1.2774483908884906,-1.680234409993316
2018-11-03_5,AOTU_L,L,optic/lateral protocerebrum,4,0.0275586782600697,4,41,2000,247,0.1644031940385962,0.21117485000103592,-0.20555301274113252,-0.35400061594083515
2018-11-03_5,AVLP_L,L,optic/lateral protocerebrum,34,0.017506590080857,34,41,2000,247,0.09820064502011099,0.23971823669585732,-1.0096512841594358,1.3680959634442722
2018-11-03_5,ICL_L,L,optic/lateral protocerebrum,8,0.0141316259929802,8,41,2000,247,0.20244569849006874,0.20881884518682564,0.25651245941026135,-0.4961444993890621
2018-11-03_5,ME_L,L,optic/lateral protocerebrum,131,0.0137407167826744,19,41,2000,247,0.07780365279183749,0.20322408448876517,-1.2573938021749842,-0.8336909287465916
2018-11-03_5,PLP_L,L,optic/lateral protocerebrum,13,0.0247627492367811,13,41,2000,247,0.2275565043570534,0.21794266927312692,0.561509108193755,0.05431948086390174
2018-11-03_5,PVLP_L,L,optic/lateral protocerebrum,11,0.0210877228173999,11,41,2000,247,0.1607642262040123,0.2036901378257041,-0.24975203209790547,-0.8055727216839664
2018-11-03_5,SIP_L,L,superior protocerebrum,7,0.026564468898378,7,41,2000,247,0.15304833008943994,0.2136550138812212,-0.3434695523468379,-0.20436589389306611
2018-11-03_5,SMP_L,L,superior protocerebrum,22,0.0283202025188532,22,41,2000,247,0.20958161972589862,0.22742466194256097,0.3431855862879861,0.6263927010592332
2018-11-03_5,SPS_L,L,superior protocerebrum,15,0.0174081044878027,15,41,2000,247,0.2571530328859254,0.2271662788471256,0.9209894874674199,0.6108037784980244
2018-11-03_5,ATL_R,R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,1,41,2000,247,0.05686216977959461,0.1927246359455668,-1.5117497226151237,-1.4671499017475877
2018-11-03_5,CRE_R,R,inferior/ventrolateral protocerebrum,8,0.011210897585465,8,41,2000,247,0.24364077363619066,0.22648038103205873,0.7568691557467504,0.569421783650557
2018-11-03_5,EPA_R,R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,1,41,2000,247,0.10438845285396206,0.198658110388286,-0.9344939728951976,-1.109167993331318
2018-11-03_5,IB_R,R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,4,41,2000,247,0.13588955611404896,0.19636063647158628,-0.551880568203897,-1.2477805558655652
2018-11-03_5,LAL_R,R,inferior/ventrolateral protocerebrum,9,0.023416134530816,9,41,2000,247,0.29753245062192735,0.2323665133476973,1.4114391828912423,0.9245474187038215
2018-11-03_5,VES_R,R,inferior/ventrolateral protocerebrum,6,0.0197899974539006,6,41,2000,247,0.31030041383103946,0.23932730842233818,1.5665192711687022,1.3445102463809788
2018-11-03_5,MB_R,R,mushroom body,16,0.0541119400368117,16,41,2000,247,0.26648597164854465,0.23611713534427672,1.034347659283124,1.150832175307276
2018-11-03_5,AL_R,R,olfactory system,23,0.0669363001194896,23,41,2000,247,0.24734046822428088,0.25271483363882946,0.8018057641880407,2.152214378628687
2018-11-03_5,LH_R,R,olfactory system,14,0.015880788129262,14,41,2000,247,0.22782710934029451,0.23273900018319268,0.5647958849491425,0.9470205159620716
2018-11-03_5,AOTU_R,R,optic/lateral protocerebrum,3,0.0151695582829394,3,41,2000,247,0.1713075097655382,0.20421570078408605,-0.12169297375970149,-0.7738641447530706
2018-11-03_5,AVLP_R,R,optic/lateral protocerebrum,28,0.0220640996038256,28,41,2000,247,0.08402518995439176,0.23376256085037617,-1.1818268134087697,1.0087745867945146
2018-11-03_5,ICL_R,R,optic/lateral protocerebrum,8,0.0142208345232401,8,41,2000,247,0.19158938653566768,0.2031315857781799,0.12465134823047465,-0.8392716159579412
2018-11-03_5,LO_R,R,optic/lateral protocerebrum,40,0.0119475088678664,19,41,2000,247,0.05310407940904969,0.2044707914254559,-1.5573956080922096,-0.7584738644883995
2018-11-03_5,ME_R,R,optic/lateral protocerebrum,129,0.0062167920089693,22,41,2000,247,0.033303504449278126,0.19461918568968145,-1.7978940229462235,-1.3528467999924372
2018-11-03_5,PLP_R,R,optic/lateral protocerebrum,15,0.0182239601527843,15,41,2000,247,0.2347724571127384,0.22160404720508184,0.6491543004636523,0.2752199114914855
2018-11-03_5,PVLP_R,R,optic/lateral protocerebrum,17,0.0190223107650327,17,41,2000,247,0.24883979936433054,0.2135760925585321,0.8200166880251415,-0.2091274220640774
2018-11-03_5,WED_R,R,optic/lateral protocerebrum,1,0.012935449669569,1,41,2000,247,0.19095408030883568,0.22906654068084098,0.11693489854098829,0.725451505439658
2018-11-03_5,SIP_R,R,superior protocerebrum,6,0.0113351905713117,6,41,2000,247,0.1631938955547732,0.21091029946288958,-0.22024119068726178,-0.3699616363231484
2018-11-03_5,SLP_R,R,superior protocerebrum,22,0.0215671447223606,22,41,2000,247,0.268270788649602,0.21113645817451357,1.0560261034914808,-0.35631689444826536
2018-11-03_5,SMP_R,R,superior protocerebrum,21,0.0249790898738309,21,41,2000,247,0.2192649598404147,0.21784220291886794,0.4607997440972839,0.04825808503647297
2018-11-03_5,SPS_R,R,superior protocerebrum,12,0.0185531881136671,12,41,2000,247,0.22862185823406475,0.2235666856125082,0.574448930355503,0.3936309789704533
2018-11-03_5,NO,midline,central complex,1,0.0034522715914941,1,41,2000,247,0.06500314618729253,0.1835810401387164,-1.4128691635711017,-2.0188067612019664
2018-11-03_5,PB,midline,central complex,1,0.0033217601035986,1,41,2000,247,0.038239572532479116,0.23094152082867545,-1.737940382608346,0.8385739226749797
2018-12-12_2,ATL_L,L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,1,41,2000,247,0.10668922729501121,0.23258630639093097,-0.9668401626165878,-0.41814981784814215
2018-12-12_2,CRE_L,L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,10,41,2000,247,0.2025538548936064,0.26049513239320726,0.7255877015580133,0.7256450791024521
2018-12-12_2,EPA_L,L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,1,41,2000,247,0.11456921992986027,0.22270190945485796,-0.8277240001822946,-0.8232447069700383
2018-12-12_2,IB_L,L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,3,41,2000,247,0.17835029680528214,0.22282897249416256,0.29828957140339535,-0.8180372483712502
2018-12-12_2,LAL_L,L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,5,41,2000,247,0.24353315044813328,0.2503793863443434,1.4490506032356705,0.31106874727842987
2018-12-12_2,VES_L,L,inferior/ventrolateral protocerebrum,6,0.0256192691445413,6,41,2000,247,0.21988920736373854,0.28048618922523,1.0316321132526725,1.544943919807968
2018-12-12_2,MB_L,L,mushroom body,16,0.1238445491944881,16,41,2000,247,0.24938612466124174,0.27333075274413887,1.552381069276153,1.2516907485044306
2018-12-12_2,LH_L,L,olfactory system,11,0.0154207396394683,11,41,2000,247,0.18775649333003294,0.24741547445368178,0.464349874282242,0.1895979517933933
2018-12-12_2,AME_L,L,optic/lateral protocerebrum,1,0.003772548406603,1,41,2000,247,0.04607477147621019,0.1981749971593285,-2.0369490919399875,-1.8284377279625117
2018-12-12_2,AOTU_L,L,optic/lateral protocerebrum,4,0.0275586782600697,4,41,2000,247,0.1611983053286097,0.23289132645337643,-0.004517720799876803,-0.40564909886898454
2018-12-12_2,AVLP_L,L,optic/lateral protocerebrum,34,0.017506590080857,34,41,2000,247,0.13579152544266168,0.2704260119494059,-0.45305795190550885,1.132644977904521
