recording_id,roi,label,atlas_region,base_region,side,n_rois_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2018-11-03_5,736,MB_L_736,MB_L,MB,L,693,2000,398,0.09596195452254101,1.8779533676527018,0.2744357959672615,1.16697116521333,0.016162978,-1.4938750549223365,-0.0027279401045949385,-1.41983646175367,0.00014134680879448303,-0.5199003096231578
2018-11-03_5,737,MB_L_737,MB_L,MB,L,693,2000,398,0.09669576325881414,1.9066892364833863,0.2793545186277069,2.3416502486640436,0.016060842,-1.5867757719414985,0.0007070626308495513,0.368011490550206,0.0002622311949454202,-0.442622217401652
2018-11-03_5,738,MB_L_738,MB_L,MB,L,693,2000,398,0.09935922998924358,2.01099029862286,0.2807795352012423,2.6819697336319375,0.016136017,-1.5183988518157305,0.001961126865016975,1.0207260138833678,0.00017720699190448765,-0.4969758722686522
2018-11-03_5,739,MB_L_739,MB_L,MB,L,693,2000,398,0.06152146749597867,0.5292677105609633,0.27348943426273314,0.9409630374065209,0.017832067,0.024287745714418996,-0.0009065567256042981,-0.4718440450700897,-0.0004975203553399174,-0.9283106693004265
2018-11-03_5,740,MB_L_740,MB_L,MB,L,693,2000,398,0.0722370360625816,0.9488881886980566,0.27385689286406517,1.028718733918936,0.017933639,0.1166751148607867,-0.0007260983777528554,-0.3779192035108023,0.0002834077108168971,-0.4290846481708098
2018-11-03_5,741,MB_L_741,MB_L,MB,L,693,2000,398,0.05589618100735203,0.3089821147622919,0.26755746559576166,-0.47569734330813934,0.01742424,-0.3466611544450721,-0.0019767460489990138,-1.0288554764339506,0.0010457841176781913,0.05828180297173573
2018-11-03_5,742,MB_L_742,MB_L,MB,L,693,2000,398,0.03054605563282059,-0.6837259869477461,0.26711216671577287,-0.5820426927650836,0.018128084,0.2935378578863615,-0.00030674943512014915,-0.15965674314927836,-0.0005230886436732367,-0.9446557789269188
2018-11-03_5,743,MB_L_743,MB_L,MB,L,693,2000,398,0.06757139082260402,0.7661820378999277,0.27071134234438243,0.27750492161705725,0.017717302,-0.08009976529004269,-7.661666809931139e-05,-0.03987739274856051,0.0004948093948548529,-0.2939413153133419
2018-11-03_5,480,ME_L_480,ME_L,ME,L,693,2000,398,0.017023351304792465,-1.2132735905643235,0.2639653101856924,-1.333568403745313,0.018279785,0.4315216999717216,-0.00016187346066655106,-0.08425179176679355,-8.898583843744214e-05,-0.6671456911084679
2018-11-03_5,481,ME_L_481,ME_L,ME,L,693,2000,398,0.020367342152300197,-1.0823232793796593,0.2654841555332282,-0.9708409267329915,0.01880673,0.9108174972040587,0.0001510812334361018,0.07863466047439002,,
