roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order,side_key,mean_FCV_all_other,mean_FCV_excl_same_side_key,n_available_targets,n_available_targets_excl_same_side_key,big_group,n_cells,n_postdca_cells,mean_DCA,median_DCA,mean_DCA_positive,median_DCA_positive,mean_PostDCA,median_PostDCA,weighted_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,weighted_PostDCA_positive,mean_mapping_confidence,mean_FCV_all_other_z,mean_FCV_excl_same_side_key_z,fcv_source,postdca_source
260,AL_R,AL,302,AL,R,0,AL_R_260,10,AL_R,0.23985604033187927,0.23964888110347005,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.6698137849456072,0.6414979445109306,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
261,AL_R,AL,309,AL,R,0,AL_R_261,11,AL_R,0.23760198414808228,0.23730748906484816,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.10531338273919245,0.050068837970613435,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
262,AL_R,AL,313,AL,R,0,AL_R_262,12,AL_R,0.2443102718976368,0.24389493148182653,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.7853208111081373,1.7140384418616608,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
263,AL_R,AL,317,AL,R,0,AL_R_263,13,AL_R,0.24130665299326462,0.24108074737798527,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.0331017263394866,1.0031833767037361,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
264,AL_R,AL,310,AL,R,0,AL_R_264,14,AL_R,0.2387327690728277,0.2382294330201891,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.3885044360129693,0.28294931283054625,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
265,AL_R,AL,315,AL,R,0,AL_R_265,15,AL_R,0.2454154505775343,0.24514390403245595,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,2.0620990980899543,2.029525428887941,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
266,AL_R,AL,321,AL,R,0,AL_R_266,16,AL_R,0.23989214061159944,0.23961521091066668,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.6788546520581007,0.632992947603852,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
267,AL_R,AL,322,AL,R,0,AL_R_267,17,AL_R,0.24055836708719908,0.2401580409073976,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.8457028061280835,0.770110292616613,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
268,AL_R,AL,311,AL,R,0,AL_R_268,18,AL_R,0.24065541277137528,0.24030141974640998,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.8700066935571817,0.8063273879407243,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
269,AL_R,AL,314,AL,R,0,AL_R_269,19,AL_R,0.2434750206720216,0.24309984972033294,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.5761425057080756,1.5132030037675632,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
