,ATL_L,CRE_L,EPA_L,IB_L,LAL_L,VES_L,MB_L,LH_L,AME_L,AOTU_L,AVLP_L,ICL_L,ME_L,PLP_L,PVLP_L,SIP_L,SMP_L,SPS_L,ATL_R,CRE_R,EPA_R,IB_R,LAL_R,VES_R,MB_R,AL_R,LH_R,AOTU_R,AVLP_R,ICL_R,LO_R,ME_R,PLP_R,PVLP_R,WED_R,SIP_R,SLP_R,SMP_R,SPS_R,NO,PB
ME_L,0.019525853066879123,0.05847797336577978,0.011412374241329954,0.0363797955449698,0.04795980452507111,0.047798754065814145,0.046783949222649036,0.046205484270635255,0.03505629896364506,0.029505830356703594,0.03858337507707518,0.034513705795480354,,0.04841660190712544,0.05802912112487943,0.03383781714391008,0.03551753803658993,0.04690441891238857,0.024522448716861073,0.029927821800795288,0.02078011390269505,0.03262242711405227,0.03354919818969976,0.04448271669351547,0.03158245008575246,0.021177100962720737,0.019885361978560976,0.03341415723061942,0.02526172850014542,0.03910071362634919,0.012697366516809737,0.011193466220892985,0.038280806983210215,0.032693998594599795,0.02814397520143337,0.027999505078733423,0.02932532722714179,0.027853029814454127,0.04532359168107831,0.01523262789799816,0.01632963692577247
PLP_L,0.1795995070096002,0.27354404421482764,0.16524164791850765,0.279615455537694,0.32766562468305216,0.35449647604133044,0.361931134506632,0.3836221650181621,0.1127081753703348,0.2641189467149863,0.2665733508832426,0.3266132091566984,0.04841660190712544,,0.4386535130905667,0.22091606537566483,0.26973551508563753,0.3911740941302317,0.15747217605664282,0.21002421260820325,0.12972224127104542,0.2710717362690117,0.25929278782814047,0.2877317589080719,0.2695721868829583,0.1862903063785894,0.20816160920462648,0.16365887591906003,0.1573363383901765,0.24343045878075534,0.07792215812363011,0.08085425654204914,0.30440398172346195,0.2691396555209,0.1321398367847757,0.1746405628798413,0.23337534292464887,0.24081447554848334,0.32109655947805577,0.10104415399066151,0.19721819461691625
PVLP_L,0.1430244391822623,0.2423003413710932,0.15461826192893652,0.23836546210426893,0.2738170503639846,0.2739900965353483,0.26663705637012913,0.30860846787798774,0.10930046061703225,0.2418783977924786,0.35732793019683445,0.28293595785115266,0.05802912112487943,0.4386535130905667,,0.19181095062616565,0.22656894270077102,0.35915417552370454,0.12588047536048613,0.19454816043905118,0.12268226420167268,0.23386019372518452,0.21074605075665603,0.24033849323728623,0.2178550602599331,0.16092314518290632,0.15768034907808692,0.14891645681223964,0.18689367697080767,0.2078063788441694,0.06964077969958446,0.07491875594232303,0.264910107075563,0.25814747254357073,0.10466105198081328,0.16710320630830522,0.21560447361952315,0.22829177047696408,0.2792974458111253,0.10060241554405921,0.1414527395776182
SIP_L,0.2204889023424296,0.38233358890914254,0.12361594310896588,0.22740894512601278,0.3070538248528593,0.24562093347478062,0.354991828999382,0.2545279960412552,0.04240158222399952,0.2064778890164723,0.17690939956574686,0.2621134527547454,0.03383781714391008,0.22091606537566483,0.19181095062616565,,0.40205023871006346,0.20434273833061772,0.16756068649741587,0.24513438203781407,0.12637616587514716,0.22206379826772565,0.2311486515742273,0.17969314508183412,0.21619626740320466,0.17438941733760854,0.16001195610635394,0.1605808879227429,0.15069703369597076,0.22662471874213835,0.030257450009771723,0.023430028718130845,0.17670875629360933,0.16052222603143534,0.06336322283553884,0.27754152596372483,0.25095765147565524,0.2944313827482348,0.17393105395542885,0.10641330244234985,0.13624274114151785
SMP_L,0.26999879389603326,0.41012043015030564,0.17018405148591423,0.27087495398395756,0.3314700696435132,0.25766840590015544,0.42034918432184815,0.277368912211117,0.05602450517116884,0.28607904254673555,0.21285583144041947,0.34485715512592835,0.03551753803658993,0.26973551508563753,0.22656894270077102,0.40205023871006346,,0.24619547976080236,0.2405176686678001,0.31264683080364186,0.1417983659726096,0.26860658035738116,0.26844901204965865,0.2044944928134592,0.2878371235159232,0.2042295472873017,0.1890484221299149,0.2229303660542415,0.17794241395498317,0.3069752791444315,0.028134205833453173,0.04314290281110596,0.19686844179259338,0.21528282167806112,0.07218059863449658,0.37250042596579536,0.2946512171190617,0.49986019072934695,0.21124427273947818,0.13112371805759163,0.1698125978367302
SPS_L,0.16999781812506584,0.2502708898587051,0.2123564798160024,0.3169067833529081,0.34839528978374446,0.36441706093127113,0.29265880731358435,0.2545465909950007,0.09246156764582925,0.22983583771501706,0.21471743335853719,0.31473251660416607,0.04690441891238857,0.3911740941302317,0.35915417552370454,0.20434273833061772,0.24619547976080236,,0.14986849893263698,0.208661602225148,0.16990911682432144,0.28697908306974373,0.28388803816702673,0.3277259744775952,0.21923928465700757,0.1665384301581529,0.16293897790289597,0.17070744564868004,0.15912006242489574,0.24047709791162925,0.08917466804701976,0.07613958325380363,0.2772247713688924,0.27731470484678256,0.18711640904546153,0.1701625146216254,0.22073315837120924,0.2365371977718141,0.3806651092800669,0.16053051197539658,0.1963543211436115
ATL_R,0.22914662079114373,0.17722067896125931,0.08336648271301633,0.21163331801985272,0.15484310055708683,0.11866479891022308,0.1592978696988207,0.12094090935942389,0.018505050996022718,0.10404331842923478,0.09014394335282631,0.1916953540952358,0.024522448716861073,0.15747217605664282,0.12588047536048613,0.16756068649741587,0.2405176686678001,0.14986849893263698,,0.21750818314266654,0.0932555040961249,0.2187658198563855,0.18315620468651578,0.14341469417347524,0.20539750824584074,0.17263448040757662,0.16360401889450107,0.1352757409273447,0.11783907212354845,0.23690677325351356,0.015610855377672817,0.0335070454933189,0.16257975351328677,0.1492258319905147,0.024948269383791695,0.2596951305237103,0.20733017008342247,0.29294379300093126,0.1612135726109459,0.10952262157892437,0.19743550654107106
CRE_R,0.16900081546825924,0.41776730453931404,0.10741434176884541,0.23990307625351304,0.3108912989172762,0.26182551035968954,0.38514338213136656,0.20644489945797248,0.03946292362215448,0.2079599806165922,0.1378432918082313,0.23267371671331719,0.029927821800795288,0.21002421260820325,0.19454816043905118,0.24513438203781407,0.31264683080364186,0.208661602225148,0.21750818314266654,,0.1289460237942883,0.26996086946134246,0.4521042585965732,0.3554679371005271,0.6150382884430796,0.45538098743594607,0.2775020037402416,0.27845155235656593,0.183960947189583,0.2998100363612791,0.04303426790843536,0.05995580109332977,0.26001747233780453,0.2293799261290196,0.09989622810117532,0.38545519695042574,0.34885846180090485,0.4099792008413646,0.2300178793229996,0.14250716118999646,0.14371867492190196
EPA_R,0.07973342605219205,0.11127058237989469,0.10576561696125322,0.1405920999797756,0.15180369588704667,0.15634346736523047,0.1263998806612396,0.0897024874466767,0.03698586720218457,0.10770940066337822,0.09986898554446969,0.13236170075051495,0.02078011390269505,0.12972224127104542,0.12268226420167268,0.12637616587514716,0.1417983659726096,0.16990911682432144,0.0932555040961249,0.1289460237942883,,0.14750119691324598,0.22083153413213327,0.20025950287080213,0.11072635341656183,0.13163391766971377,0.09054773432356633,0.11400899843823584,0.1395975445917693,0.18877141061299357,0.05036443252540933,0.03850309276841639,0.15099196177801918,0.16326002072973145,0.08510750779925028,0.12528876782628048,0.132354057644347,0.15786496571992648,0.1920914941793519,0.07163204222448209,0.0876574004859905
IB_R,0.19659495660596696,0.23875538111588873,0.14284902269294641,0.31878096518627985,0.25126290840483356,0.22568521733892383,0.23657883392280438,0.19326084229274357,0.0666541702190675,0.15852910055672814,0.15563757672387096,0.2625572980435463,0.03262242711405227,0.2710717362690117,0.23386019372518452,0.22206379826772565,0.26860658035738116,0.28697908306974373,0.2187658198563855,0.26996086946134246,0.14750119691324598,,0.27611795223021296,0.2657355454094246,0.26384609212018156,0.20715189102504192,0.19251099989923426,0.17947897791173004,0.15694719773438776,0.30582264160578554,0.06657479645301678,0.06125868647291013,0.2746116729621104,0.23936663160109944,0.1011549510277651,0.23395685982262612,0.23789923174135832,0.2839194061400277,0.32095054234799986,0.1288425342524861,0.1787747131216469
