side_key,big_group,n_rois,weighted_mean_PostDCA_positive,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z
ICL_L,optic/lateral protocerebrum,8,0.0141316259929802,0.08134375275866126,-0.11656520959974295,0.10307459797119436,0.0009780292995987538,0.031013974600005764
ICL_R,optic/lateral protocerebrum,8,0.0142208345232401,0.11338022818504473,-0.10946021492519643,0.19895520498192887,-0.13264551855965248,-0.04549762961777257
LAL_L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,0.9143200370096366,0.6732164889033097,-0.7303846027957182,0.027301388383576913,-0.10360368008349896
LAL_R,inferior/ventrolateral protocerebrum,9,0.023416134530816,0.41480312321870916,0.29189019862950594,-0.2702057064318898,-0.11923154733471335,-0.04920613272774283
LH_L,olfactory system,11,0.0154207396394683,0.11762051618105172,0.1498936253069897,-0.18598180811871126,-0.09350759069319045,-0.1654636624446932
LH_R,olfactory system,14,0.015880788129262,-0.251695078181119,0.05810600578802237,0.20084407216232933,-0.1864521197577729,-0.15425334055126566
LO_R,optic/lateral protocerebrum,40,0.0119475088678664,-1.2730122084808027,-0.9937475594770473,0.34429791553721684,0.0329930956173807,0.499348619936954
MB_L,mushroom body,16,0.1238445491944881,1.1817618463209443,0.8774057267881812,-0.9298565359586901,0.605592514026535,-0.2352863826542638
MB_R,mushroom body,16,0.0541119400368117,1.1090789775110492,0.9787516130096675,-0.7091342025385905,0.5253911270071349,-0.2390790534114187
ME_L,optic/lateral protocerebrum,131,0.0137407167826744,-1.3347730276155845,-1.1818835918559603,0.23133808096951364,-0.012375999351265599,0.19197903500724567
ME_R,optic/lateral protocerebrum,129,0.0062167920089693,-1.0175064668487592,-0.7072491465992892,0.3041932353549951,0.0021373716687491363,-0.11927188528201603
NO,central complex,1,0.0034522715914941,0.41445886909143753,0.19080381900770965,0.16855943032280987,0.09647997744921324,-0.10057579250405135
PB,central complex,1,0.0033217601035986,0.5081021437960241,1.403863212700553,-0.28110868528232624,1.1950819802544874,0.27831382650485265
PLP_L,optic/lateral protocerebrum,13,0.0247627492367811,0.11592454548549834,-0.04472272249227058,-0.014048519401760221,0.02525610036382917,0.16852041640111934
PLP_R,optic/lateral protocerebrum,15,0.0182239601527843,-0.2118594918058124,-0.23234593020954877,0.22098424113052503,-0.017879248555415,0.19888872611651642
PVLP_L,optic/lateral protocerebrum,11,0.0210877228173999,0.0030362928242758155,-0.15271545568732212,0.05897493547134693,-0.06094393311307675,0.05463687814951577
PVLP_R,optic/lateral protocerebrum,17,0.0190223107650327,-0.42349361945153763,-0.4775337254407905,0.2596739988142276,-0.16112422672901658,0.07467620887983786
SIP_L,superior protocerebrum,7,0.026564468898378,0.1565812732128891,0.12456640006112497,0.08073215629189945,-0.15563818208537092,-0.10223133283216487
SIP_R,superior protocerebrum,6,0.0113351905713117,0.4780214313395596,0.2549810844353499,-0.07090686803718986,-0.14894312108442578,-0.28624298834301176
SLP_R,superior protocerebrum,22,0.0215671447223606,-0.03347481478330641,0.0025286393682895547,0.19852274589785174,-0.314170911821395,-0.2749478358977403
SMP_L,superior protocerebrum,22,0.0283202025188532,0.10287387849701525,-0.02137590820097959,-0.049134003866327186,-0.0843232048933808,-0.2869027242288
SMP_R,superior protocerebrum,21,0.0249790898738309,0.13887653891972182,-0.043293850738926346,-0.04928800761730723,-0.14987805951083844,-0.29147667020467355
SPS_L,superior protocerebrum,15,0.0174081044878027,-0.13493758893831928,-0.2833148038385343,0.18544087827733838,-0.016125438308196925,0.3768571129811634
SPS_R,superior protocerebrum,12,0.0185531881136671,-0.12198525657653596,-0.25258347967543565,0.0226637657226461,0.03580190170243714,0.16777292695904378
VES_L,inferior/ventrolateral protocerebrum,6,0.0256192691445413,0.8661597958708821,0.6163529117127778,-0.7007146857865658,0.07338127757280184,0.06378744730110385
VES_R,inferior/ventrolateral protocerebrum,6,0.0197899974539006,0.8299831624688091,0.5826010125427331,-0.4390751171499665,0.16590436306150647,0.08272910395155937
WED_R,optic/lateral protocerebrum,1,0.012935449669569,-0.30286746977030093,-0.12882177009785223,0.2523419254722614,0.10990018379146764,0.49149137866345405
