roi,label,atlas_region,base_region,side,n_recordings,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z,FCS,FCV,Metastability,NetTE,NeighborNetTE
270,AL_R_270,AL_R,AL,R,20,0.2644819917251873,-0.014838472151314014,0.5019889858192564,-0.3729566119205502,0.0654503085455386,0.06978669046711299,0.20383542255611586,0.075086534,-0.008506513340071752,0.007567154154715562
271,AL_R_271,AL_R,AL,R,20,1.036807333639865,1.4858374063895268,-0.5971076700129252,0.7438162370426503,-0.06942751995838761,0.09037370013462688,0.2215572056367407,0.04839558,0.013081120231513574,0.00613680072405074
272,AL_R_272,AL_R,AL,R,20,1.0430746409636407,0.6711569186871706,-0.49138628041285354,0.2908613098255225,-0.07169635587212343,0.08951782343500582,0.21155195539217414,0.04752872,0.007820435868780973,0.005993930960059059
273,AL_L_273,AL_L,AL,L,20,0.6701574925989117,0.616498594141866,-0.2077578119529492,-0.09452690500413637,0.26722274838688526,0.07999086962931909,0.21122846854537763,0.051651526,-0.0027921329333430818,0.008305349410007053
274,AL_L_274,AL_L,AL,L,20,0.646925850952718,0.12225302194455948,-0.126814888433732,-0.2626037783481119,0.24429837769719268,0.07869321355506177,0.20535938413028418,0.050472744,-0.004726478574085187,0.008739402018089029
275,AL_L_275,AL_L,AL,L,20,0.8276247790089899,0.9834762747335166,-0.435264663584333,0.18739624902440308,0.2797010003796335,0.08408161059372951,0.21511582535173676,0.052367024,0.003801570303610332,0.00890104820746892
276,AL_L_276,AL_L,AL,L,20,0.26538085296117353,0.23015072984692111,-0.13453370977301557,-0.3059724962685815,0.48606663687528673,0.06911357933022597,0.20703595453310628,0.05372387,-0.007975474490835603,0.009302344166742046
277,AL_L_277,AL_L,AL,L,20,1.2094715803759992,1.6541616919064837,-0.5335757493704085,0.9472788456792133,0.07220217631487999,0.0949788231931118,0.22252990361321853,0.04756367,0.017112362165521703,0.007234699374137757
278,AL_L_278,AL_L,AL,L,20,-0.5693139227435744,-0.654140205515893,0.6975252157853493,-0.7215799689273322,0.2659074106679144,0.047165886022923195,0.19668093240928208,0.06942689,-0.01396671892211889,0.010108665651964905
279,AL_L_279,AL_L,AL,L,20,0.4493425323713042,0.41991449011433896,-0.3549288202381726,-0.2728911824928165,0.19300933263053788,0.07432974914403723,0.20940523904154335,0.047434743,-0.002209021968475907,0.008758300611248156
280,AL_L_280,AL_L,AL,L,20,-0.2185162706769197,-0.21700221823883728,0.3775564343450705,-0.6731246495408005,0.5142924240636089,0.05744575442580391,0.20219078607470467,0.06696188,-0.01509086928468629,0.0109273882304086
281,AL_L_281,AL_L,AL,L,20,0.8961881369108033,0.6070014214005939,-0.19088837854854107,0.16947675191810993,-0.016569531520063893,0.08727692760629122,0.21152172953986642,0.04846576,0.004713763163563875,0.0065991066240227506
282,AL_L_282,AL_L,AL,L,20,0.5620877343031859,0.9106462506274413,-0.2929737101656592,0.1390015388895764,0.31327849152962595,0.0783639418969224,0.21455554312805555,0.0577541,0.003922441441244982,0.00917845861496914
283,AL_L_283,AL_L,AL,L,20,0.13043750776220162,-0.03493438358907638,0.20739920431856826,-0.5285719782584302,0.4248958460706431,0.06494625795228504,0.203722924417498,0.059390675,-0.013304379241408842,0.008495340777152994
284,AL_L_284,AL_L,AL,L,20,0.632879816097863,0.6205561429830049,-0.3620149906816179,-0.053180497306699735,0.3013475511705476,0.07928725735110587,0.21106618314353817,0.048975468,0.0012127171058913776,0.008798360119866273
285,AL_L_285,AL_L,AL,L,20,0.5875311333304933,0.5066514510317555,-0.5913041381695343,0.08670520034167081,0.24304228083369747,0.07860457478145086,0.21024055711562634,0.043923046,0.006111926017234854,0.009302384742697657
286,AL_L_286,AL_L,AL,L,20,1.0650404445463673,1.4424607941027119,-0.6948768853135135,0.6552213261238837,0.16227787470417715,0.09123816330735499,0.22045943216830896,0.0464243,0.013794950231754139,0.008652913628264756
287,AL_L_287,AL_L,AL,L,20,0.1330567818777994,0.13606152517742945,0.13078110514453292,-0.4895069212623088,0.3516184355176312,0.06572874512723853,0.20649575535062814,0.055442117,-0.007014097480316764,0.00997256604074931
288,AL_L_288,AL_L,AL,L,20,0.130591156413816,0.005840948365287336,0.32920826745221266,-0.5074199117980073,0.2802511376965423,0.06695896176057035,0.20474457678938976,0.06111761,-0.010571245808668459,0.00947317154027949
289,AL_L_289,AL_L,AL,L,20,0.9481008275863074,1.0691751093082011,-0.31368643471613283,0.4797571590808122,0.15393282173886108,0.08773592839043642,0.21642138540780506,0.05036504,0.006822634850648451,0.007240070443458255
290,AL_L_290,AL_L,AL,L,20,0.04031320682971419,-0.1554284043381376,0.28246660018638836,0.0005376955043445708,0.13759076700011574,0.06340293951321553,0.20287703005649432,0.061841775,-0.001149695718579446,0.008391360114680477
291,AL_L_291,AL_L,AL,L,20,0.6508157325761242,0.7574291848826171,-0.39858688873649645,0.1799336208088472,0.24656061518182618,0.07946043910807064,0.21300849543684378,0.04796635,0.00683539665247198,0.009338298674701649
292,AL_L_292,AL_L,AL,L,20,0.9838174629623303,1.7435965116893173,-0.5506677257499971,0.8442003198803031,0.19381907777897614,0.08903801366392777,0.22335617811984565,0.05127237,0.014982223356814244,0.008410745839815884
293,AL_L_293,AL_L,AL,L,20,0.7362301467060715,1.4223435722732085,-0.5868548228321819,0.5337737771910923,0.13980552911486996,0.08342599323475054,0.22080113508107932,0.048331,0.012201085957696764,0.0075997297476078
294,AL_L_294,AL_L,AL,L,20,1.0326368733998983,0.8430802031125838,-0.40419979916051796,0.4378614866050068,0.07635894691454206,0.09012909178431683,0.21391146879467077,0.048776306,0.008577475361664031,0.008216858906610672
295,GOR_R_295,GOR_R,GOR,R,20,0.7806027961200823,0.16787760912204105,-0.8393330779111142,0.3983387028631279,-0.13924374208707388,0.08497332139120668,0.20595566265070991,0.039564755,0.014618002219524362,0.005388001807384704
296,GOR_L_296,GOR_L,GOR,L,20,0.5879510488023449,0.003406239100732725,-0.6788516073477677,0.14437572409124014,-0.04669766494438522,0.08018996412231519,0.20460277368028237,0.04002313,0.011464537135095498,0.007392377913959224
297,SCL_R_297,SCL_R,SCL,R,20,0.5050008340608096,0.40438277046832727,-0.43783187385218386,0.35053887100172365,-0.06334128262988499,0.07523813428187566,0.20853202009986377,0.044952348,0.015435133128368198,0.007105457328767615
298,SCL_R_298,SCL_R,SCL,R,20,0.20422852493457344,0.47685309002687826,-0.5775119135423433,0.3835124418358654,-0.013028258922367197,0.06977548707683418,0.20906936533600073,0.043796282,0.014900041866863372,0.0060876757134791385
299,SCL_R_299,SCL_R,SCL,R,20,0.44513457362294934,0.34101882790265803,-0.5531199848696974,0.11079834789505072,-0.11765352273962644,0.07863973208226756,0.20884515811159834,0.044153277,0.002275340929039201,0.005690431521232961
