roi,label,side_key,side,big_group,mean_FCV_excl_same_side_key_z,weighted_mean_PostDCA_positive,binary_mean_PostDCA_positive
648,LO_R_648,LO_R,R,optic/lateral protocerebrum,-1.3653975616691727,0.0119475088678664,0.01237342945600445
649,LO_R_649,LO_R,R,optic/lateral protocerebrum,-1.253381823145663,0.0119475088678664,0.01237342945600445
650,LO_R_650,LO_R,R,optic/lateral protocerebrum,-0.6265788262076911,0.0119475088678664,0.01237342945600445
651,LO_R_651,LO_R,R,optic/lateral protocerebrum,-1.5065740619965118,0.0119475088678664,0.01237342945600445
652,LO_R_652,LO_R,R,optic/lateral protocerebrum,-1.8607540543571812,0.0119475088678664,0.01237342945600445
653,LO_R_653,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
654,LO_R_654,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
655,LO_R_655,LO_R,R,optic/lateral protocerebrum,-1.3983437270608785,0.0119475088678664,0.01237342945600445
656,LO_R_656,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
657,LO_R_657,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
658,LO_R_658,LO_R,R,optic/lateral protocerebrum,-2.3288986302721324,0.0119475088678664,0.01237342945600445
659,LO_R_659,LO_R,R,optic/lateral protocerebrum,-1.7789137421722152,0.0119475088678664,0.01237342945600445
660,LO_R_660,LO_R,R,optic/lateral protocerebrum,-2.3221304429021603,0.0119475088678664,0.01237342945600445
661,LO_R_661,LO_R,R,optic/lateral protocerebrum,-0.8699677250979927,0.0119475088678664,0.01237342945600445
662,LO_R_662,LO_R,R,optic/lateral protocerebrum,-0.1440767374906459,0.0119475088678664,0.01237342945600445
663,LO_R_663,LO_R,R,optic/lateral protocerebrum,-1.52411362165354,0.0119475088678664,0.01237342945600445
664,LO_R_664,LO_R,R,optic/lateral protocerebrum,-2.110060790085921,0.0119475088678664,0.01237342945600445
665,LO_R_665,LO_R,R,optic/lateral protocerebrum,-1.2888720618120042,0.0119475088678664,0.01237342945600445
666,LO_R_666,LO_R,R,optic/lateral protocerebrum,-1.7321792740240218,0.0119475088678664,0.01237342945600445
667,LO_R_667,LO_R,R,optic/lateral protocerebrum,-2.2711219669051657,0.0119475088678664,0.01237342945600445
668,LO_R_668,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
669,LO_R_669,LO_R,R,optic/lateral protocerebrum,-2.151659225797758,0.0119475088678664,0.01237342945600445
670,LO_R_670,LO_R,R,optic/lateral protocerebrum,-1.925658527674624,0.0119475088678664,0.01237342945600445
671,LO_R_671,LO_R,R,optic/lateral protocerebrum,-1.1878228696792212,0.0119475088678664,0.01237342945600445
672,LO_R_672,LO_R,R,optic/lateral protocerebrum,-1.644910484772989,0.0119475088678664,0.01237342945600445
712,MB_R_712,MB_R,R,mushroom body,1.8709126565056076,0.0541119400368117,0.010106777576456807
713,MB_R_713,MB_R,R,mushroom body,0.2917696363810155,0.0541119400368117,0.010106777576456807
714,MB_R_714,MB_R,R,mushroom body,0.531858445032176,0.0541119400368117,0.010106777576456807
715,MB_R_715,MB_R,R,mushroom body,0.301401328267187,0.0541119400368117,0.010106777576456807
716,MB_R_716,MB_R,R,mushroom body,1.7257230560129464,0.0541119400368117,0.010106777576456807
717,MB_R_717,MB_R,R,mushroom body,0.6772520254627644,0.0541119400368117,0.010106777576456807
718,MB_R_718,MB_R,R,mushroom body,1.3217573652596808,0.0541119400368117,0.010106777576456807
719,MB_R_719,MB_R,R,mushroom body,1.2387541817661598,0.0541119400368117,0.010106777576456807
720,MB_R_720,MB_R,R,mushroom body,2.467531812495457,0.0541119400368117,0.010106777576456807
721,MB_R_721,MB_R,R,mushroom body,1.5242842888702015,0.0541119400368117,0.010106777576456807
722,MB_R_722,MB_R,R,mushroom body,1.6531065293759242,0.0541119400368117,0.010106777576456807
723,MB_R_723,MB_R,R,mushroom body,1.6840963042266186,0.0541119400368117,0.010106777576456807
724,MB_R_724,MB_R,R,mushroom body,1.7407320701050255,0.0541119400368117,0.010106777576456807
725,MB_R_725,MB_R,R,mushroom body,1.0441146635003915,0.0541119400368117,0.010106777576456807
726,MB_R_726,MB_R,R,mushroom body,0.9382262404346032,0.0541119400368117,0.010106777576456807
727,MB_R_727,MB_R,R,mushroom body,1.3723392403883163,0.0541119400368117,0.010106777576456807
327,ME_R_327,ME_R,R,optic/lateral protocerebrum,-1.186970966474416,0.0062167920089693,0.033232590552751164
328,ME_R_328,ME_R,R,optic/lateral protocerebrum,,0.0062167920089693,0.033232590552751164
329,ME_R_329,ME_R,R,optic/lateral protocerebrum,-0.6982415206390147,0.0062167920089693,0.033232590552751164
330,ME_R_330,ME_R,R,optic/lateral protocerebrum,-0.775924488341183,0.0062167920089693,0.033232590552751164
331,ME_R_331,ME_R,R,optic/lateral protocerebrum,-0.6904493148407818,0.0062167920089693,0.033232590552751164
332,ME_R_332,ME_R,R,optic/lateral protocerebrum,-1.1716578279194076,0.0062167920089693,0.033232590552751164
333,ME_R_333,ME_R,R,optic/lateral protocerebrum,-0.5415183246929952,0.0062167920089693,0.033232590552751164
334,ME_R_334,ME_R,R,optic/lateral protocerebrum,,0.0062167920089693,0.033232590552751164
335,ME_R_335,ME_R,R,optic/lateral protocerebrum,,0.0062167920089693,0.033232590552751164
336,ME_R_336,ME_R,R,optic/lateral protocerebrum,,0.0062167920089693,0.033232590552751164
337,ME_R_337,ME_R,R,optic/lateral protocerebrum,,0.0062167920089693,0.033232590552751164
