neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort
SAADL,3,-0.07658643603242486,-0.3000038123270976,0.9797812863486047,0.29844866309287355,0.257606386922777,0.03227619854787321,M4,2
SAADR,4,-0.009966002012366033,0.07569021834932974,0.41821448964958574,0.2974189100247195,0.2577650490827391,0.028441797183664574,M4,2
SAAVL,11,-0.1772996900204182,-0.10696933605245801,0.5850680190080705,0.30037014027502573,0.274273518016436,0.039010839551200764,M4,2
SAAVR,4,-0.19119848694858868,0.0953847762409964,0.7776307762436835,0.2847830232510193,0.25676907280341355,0.03010168588236715,M4,2
SMBVR,2,0.578713621344249,1.077666969277889,-0.3627423092297129,0.3429079365954951,0.30295457129977293,0.04108895398696051,M4,2
CEPDL,18,-0.13186621378675986,-0.4751642149016139,-0.336016156374222,0.3016214966764553,0.25882780898734165,0.030904023849321935,M3,3
CEPDR,17,-0.48700863355370755,-1.08628622130055,0.1279191634073287,0.2803568115981427,0.23820530831069392,0.03368817184735293,M3,3
CEPVL,15,-0.2947826748961161,-0.7527281749740877,-0.297501429532993,0.29409625908241055,0.2485317551025673,0.03311614217920702,M3,3
IL1DL,15,-0.26718592213627673,-0.6846374845079323,-0.653711974697512,0.29341215896506523,0.25198909941527153,0.0320372431175333,M3,3
IL1DR,16,0.23174562980007626,-0.07831439739803153,-0.4203276439547246,0.3254859803366094,0.2684767203973977,0.0313652440698991,M3,3
IL1VL,11,-0.3216751661542163,-0.08541758245170782,-0.67139109136165,0.28324419775226123,0.26936783640091105,0.03159590368588439,M3,3
IL2DL,16,-1.1630021200056229,-0.7589990050760098,0.7406499320621213,0.2338481642045152,0.24728051129128276,0.03657000615877218,M3,3
IL2DR,16,-1.1867236199742635,-0.8017521261463133,0.7107623633746155,0.23300765432085746,0.2465577754544054,0.03687245210229235,M3,3
IL2L,15,-0.7491932624763558,-0.8284706952314017,-0.10251619284970255,0.2593118893289958,0.24700243815277187,0.03254234433621337,M3,3
IL2R,11,-0.326612942129094,-0.575206257082836,0.06089884518995519,0.2892289718060408,0.25460143601747054,0.02918043864839762,M3,3
IL2VL,11,-1.3633120551602587,-1.1647925562623735,0.6370891908956083,0.22069791592399035,0.23731660818484054,0.035814441853299454,M3,3
IL2VR,13,-1.1019336811601352,-0.6709397428863378,0.6571062977885606,0.2399718701692013,0.2545067315400118,0.03916325275405199,M3,3
OLQDL,17,0.32128912314182784,0.5535254444583871,-0.7859073728090534,0.3314793410883859,0.29342131049145737,0.029969598354681243,M3,3
OLQDR,16,0.09838428093141832,0.04163583008437415,-0.4868797260227229,0.31770182945602043,0.27598816554572914,0.03144084122596738,M3,3
OLQVL,16,0.3264944890861742,0.5832850111119773,-0.2991797473275751,0.3303879124892121,0.2935227065584287,0.03260716190018371,M3,3
OLQVR,12,-0.07751455652456184,0.28712772827805416,-0.5452307943681721,0.30144683378757237,0.2809612852852454,0.030592029357447047,M3,3
RICL,16,-0.18467481611301856,-0.1771593222356858,-0.12400952069238225,0.2991787558279563,0.2702414988380922,0.03273527986227705,M3,3
RICR,10,-0.5930267398364479,-0.48162602032804047,0.4128224916771102,0.2644713593714842,0.2522446195212691,0.03543668289847254,M3,3
RIH,14,0.23689857702790687,0.4737844757289689,0.050144682613323596,0.3238382572350541,0.28739625008388486,0.035074626366987376,M3,3
RMEL,15,1.074593836694366,0.7531141608018515,0.045939360012940404,0.3773198547376678,0.294148081172621,0.03494414911319738,M3,3
RMER,17,1.4705997210500772,0.16088105198186958,0.06759558096293583,0.4059912324863564,0.27869339704866936,0.0318609674576569,M3,3
