uid,neuron,phase,n_neurons_recording,n_time,n_windows,NetTE,NetTE_z,NeighborNetTE,NeighborNetTE_z
2023-01-16-08,AQR,spontaneous,71,803,50,0.01732486164464929,1.3802434267616766,0.0011345984378703265,-0.04762895931963951
2023-01-16-08,SAAVL,spontaneous,71,803,50,-0.01658388995411379,-1.3212114225670586,0.002535139068062309,0.45100797941848886
2023-01-16-08,AWBL,spontaneous,71,803,50,-0.013131801185171658,-1.0461891493934228,-0.00017302806145274996,-0.5131855169654791
2023-01-16-08,URYVL,spontaneous,71,803,50,-0.006227329937920796,-0.4961212037006933,0.002423069981672169,0.4111078258919909
2023-01-16-08,ASEL,spontaneous,71,803,50,0.00926199419042723,0.7378879475202185,0.004882258939723151,1.2866571868934344
2023-01-16-08,AIZR,spontaneous,71,803,50,0.0020167081452610383,0.1606678436045674,0.002716140296195268,0.5154501643565214
2023-01-16-08,CEPDL,spontaneous,71,803,50,-0.007781575789299725,-0.6199454317919993,0.0012790110805941766,0.003786527336418999
2023-01-16-08,RMDL,spontaneous,71,803,50,0.015038697521948353,1.1981084655955714,0.003148667915566364,0.6694437318357667
2023-01-16-08,URBL,spontaneous,71,803,50,0.001245004247946494,0.0991874546974657,0.0013058596218549602,0.013345460604942858
2023-01-16-08,AUAL,spontaneous,71,803,50,0.0029940424510283797,0.23853047125219887,0.002206728772835084,0.33408348559659884
2023-01-16-08,AVAL,spontaneous,71,803,50,0.016814956570240618,1.339620122422484,0.0018748653371553569,0.21592956411859546
2023-01-16-08,OLQVL,spontaneous,71,803,50,0.014320979801374563,1.1409290672020322,0.0030975304199234023,0.6512371595075898
2023-01-16-08,IL2DR,spontaneous,71,803,50,-0.010267733409066818,-0.8180135481764549,-0.005403013544526395,-2.375226427957983
2023-01-16-08,AVDL,spontaneous,71,803,50,-0.0069498077902862415,-0.5536798340183142,-0.006906542352903814,-2.9105304285360543
2023-01-16-08,OLQDR,spontaneous,71,803,50,-0.011831284831778931,-0.9425791359350605,0.003518997340687455,0.8012927670484894
2023-01-16-08,FLPL,spontaneous,71,803,50,-0.015082035058205667,-1.2015610963165606,-0.00638680211277505,-2.725486398616479
2023-01-16-08,AVER,spontaneous,71,803,50,0.02224372486443702,1.7721212244322062,0.0009782167489307328,-0.10330580650746314
2023-01-16-08,ADEL,spontaneous,71,803,50,-0.010526159150110839,-0.838601904822419,-0.004095326740081285,-1.9096483997737004
2023-01-16-08,RMDR,spontaneous,71,803,50,-0.006777681995829284,-0.5399668531444543,-7.159089756642433e-05,-0.47707066546872395
2023-01-16-08,IL2DL,spontaneous,71,803,50,-0.011879897543665382,-0.9464520312813305,-0.0024026969427095816,-1.3070184421817737
2023-01-16-08,RID,spontaneous,71,803,50,0.013112384983366246,1.0446422923122942,0.002244529538214952,0.3475417584411302
2023-01-16-08,AIBR,spontaneous,71,803,50,0.015252993153612523,1.2151810485145562,0.0013592832216508177,0.03236595860715051
2023-01-16-08,AINL,spontaneous,71,803,50,0.01936781498518698,1.5430021822019448,0.002414897974103312,0.40819833169408176
2023-01-16-08,CEPVR,spontaneous,71,803,50,-0.010048053982984508,-0.8005120471507002,0.0013139544875719932,0.016227489853950956
2023-01-16-08,IL1L,spontaneous,71,803,50,0.01645005138970439,1.310548722768221,0.002611587131661232,0.47822591768008677
2023-01-16-08,RIVR,spontaneous,71,803,50,-0.004713245914278203,-0.3754966028200861,0.0038400722960507754,0.9156056469439491
2023-01-16-08,AIZL,spontaneous,71,803,50,0.01107915238865311,0.8826579728128582,0.0012105194713224541,-0.0205986605262267
2023-01-16-08,URXL,spontaneous,71,803,50,0.004796845941064928,0.382156880392064,0.0017590997573540654,0.17471334155499318
2023-01-16-08,IL2L,spontaneous,71,803,50,-0.006574015911010468,-0.5237411088590864,0.003666896408004561,0.8539495315717127
2023-01-16-08,IL1DL,spontaneous,71,803,50,-0.01136410539129477,-0.9053597130575559,0.0012359378431565531,-0.011548912988859494
2023-01-16-08,RMDDR,spontaneous,71,803,50,-0.011265632727903378,-0.8975145568219988,0.002139131005400878,0.31001653381219824
2023-01-16-08,AWBR,spontaneous,71,803,50,-0.014614225452944815,-1.1642914692406825,-0.005688208957812262,-2.476765051513321
2023-01-16-08,IL1DR,spontaneous,71,803,50,-0.014983753510118453,-1.1937311659250973,0.0017954243258628496,0.18764604143655303
2023-01-16-08,RIVL,spontaneous,71,803,50,0.014856472386082427,1.1835908866891116,0.002959809130987864,0.6022040072851708
2023-01-16-08,URYDR,spontaneous,71,803,50,-0.01061394447363557,-0.8455956181487577,-0.0020332415802335347,-1.1754806010266845
2023-01-16-08,AVJL,spontaneous,71,803,50,-0.013515118391111238,-1.076727405035202,-0.00509058374679145,-2.263991498706576
2023-01-16-08,OLQDL,spontaneous,71,803,50,0.007964417040334062,0.6345120955874916,0.00015919202840379226,-0.3949046152749196
