uid,neuron,phase,n_neurons_recording,n_time,n_windows,FCS,FCS_z,FCV,FCV_z,Metastability,Metastability_z
2023-01-05-18,AINR,spontaneous,69,802,50,0.3481472012890705,-0.2738195534544863,0.35182740597007256,0.3333980125192648,0.028987367972917785,-1.0787971205545501
2023-01-05-18,RMER,spontaneous,69,802,50,0.48484653488631285,1.6539621334117347,0.3609660191383416,0.5951194034109027,0.03398367259355724,-0.2066198284800065
2023-01-05-18,OLLL,spontaneous,69,802,50,0.41552947820231007,0.6764288203628402,0.39555138175247134,1.585612057076449,0.03556179178013301,0.06886371850644186
2023-01-05-18,AVJR,spontaneous,69,802,50,0.26137341323985575,-1.4975337816024261,0.2968722380827286,-1.2404669395611447,0.03940576041353551,0.739884084168492
2023-01-05-18,OLLR,spontaneous,69,802,50,0.41045876884596083,0.6049199082170648,0.39349269792425307,1.5266532648607736,0.03546209200513464,0.051459679645539325
2023-01-05-18,URYDL,spontaneous,69,802,50,0.444254107840006,1.0815135674525074,0.35306778996754695,0.36892145782559654,0.042796407630079275,1.3317706347781197
2023-01-05-18,IL2VL,spontaneous,69,802,50,0.2709430461364256,-1.3625794803445004,0.2876698465976707,-1.5040148821922383,0.042700348380274616,1.315002102285676
2023-01-05-18,ASEL,spontaneous,69,802,50,0.3168972656109498,-0.7145170472222524,0.3230236550947729,-0.4915146523646092,0.040862546487382065,0.9941871800547433
2023-01-05-18,ADER,spontaneous,69,802,50,0.21816191203728208,-2.1069174449182486,0.25270198242892605,-2.5054620250180895,0.04543013685687307,1.7915261940355536
2023-01-05-18,CEPDR,spontaneous,69,802,50,0.41533293079744676,0.673657040298331,0.35246105191940486,0.3515450438180535,0.033398831445396376,-0.3087123163538591
2023-01-05-18,IL1L,spontaneous,69,802,50,0.45873537719549157,1.2857334793676098,0.3824101967135572,1.209260726407263,0.02220389686153333,-2.26295019247753
2023-01-05-18,URXL,spontaneous,69,802,50,0.42522801258862647,0.8132009353935478,0.3347753675585769,-0.15495652535418902,0.03255395592965612,-0.45619756703581443
2023-01-05-18,OLQDL,spontaneous,69,802,50,0.41863149129681915,0.7201744910888785,0.3751662618862633,1.0018011629462957,0.029317533350047754,-1.0211619748966112
2023-01-05-18,IL2R,spontaneous,69,802,50,0.3935310920430622,0.366199905104508,0.3294171372335383,-0.30841126378825645,0.037533133762609874,0.4129899963412553
2023-01-05-18,AVER,spontaneous,69,802,50,0.4916566014248681,1.750000067276484,0.3247708107453328,-0.44147773773116655,0.03138618765986629,-0.6600484217472141
2023-01-05-18,IL1DR,spontaneous,69,802,50,0.40156852581019875,0.479546599766073,0.33813948395776433,-0.058611357120804376,0.03397120285272653,-0.20879660223909094
2023-01-05-18,OLQDR,spontaneous,69,802,50,0.4099467898380424,0.5976998016550749,0.40291392334441445,1.7964684080851077,0.03849198061065503,0.5803705927899967
2023-01-05-18,AVJL,spontaneous,69,802,50,0.30042342369232883,-0.9468369124866666,0.29110477104793564,-1.4056418371603612,0.036501726380495064,0.23294290837097512
2023-01-05-18,AVEL,spontaneous,69,802,50,0.49278904255878275,1.7659701471734843,0.3290922714149423,-0.3177151190155818,0.031719112491008436,-0.6019315734488874
2023-01-05-18,URYDR,spontaneous,69,802,50,0.34303681035779704,-0.3458880690118653,0.35592895099010435,0.4508624513440367,0.04643485081266107,1.966913558058312
2023-01-05-18,URADL,spontaneous,69,802,50,0.2795689420164174,-1.2409340876957213,0.3217729719543292,-0.5273330555571413,0.04047235246503119,0.9260731654704796
2023-01-05-18,AVBL,spontaneous,69,802,50,0.4744862388237698,1.5078576243822506,0.3390685645461344,-0.03200335223414087,0.03492842410826032,-0.04169977649334511
2023-01-05-18,IL1DL,spontaneous,69,802,50,0.3558254222968703,-0.16553860242835372,0.29758511554793543,-1.2200507912579144,0.03133349563421555,-0.6692465775314188
2023-01-05-18,AWCL,spontaneous,69,802,50,0.390884574144281,0.32887778651784544,0.32506548050381323,-0.43303866961183995,0.0339489038403599,-0.2126892176215715
2023-01-05-18,AIBR,spontaneous,69,802,50,0.5005165869431946,1.8749466736619465,0.34492144734387753,0.13561777346027634,0.03246289540337103,-0.4720934999823622
2023-01-05-18,IL2DL,spontaneous,69,802,50,0.28643481371461704,-1.1441091700032964,0.31398190092658984,-0.75046209148084,0.045198111671173206,1.7510228393520078
2023-01-05-18,IL2L,spontaneous,69,802,50,0.3795519769180959,0.16906154731336012,0.31931471241928716,-0.5977353247896068,0.03025053308585757,-0.8582933660204929
2023-01-05-18,RICL,spontaneous,69,802,50,0.384048174917228,0.2324684998943363,0.35426398561834366,0.4031793899363548,0.03505828882971806,-0.019030009596199576
2023-01-05-18,RIAR,spontaneous,69,802,50,0.35363274362755226,-0.19646052188955293,0.3958189173118343,1.593274026942135,0.036174754318028496,0.17586520201014444
2023-01-05-18,ASGL,spontaneous,69,802,50,0.37572721197658765,0.11512337792526676,0.32775138880581317,-0.3561167511912607,0.037547686296219636,0.41553035172794534
2023-01-05-18,ADLR,spontaneous,69,802,50,0.3089406944831622,-0.826723388736611,0.3369390941071671,-0.09298940721721953,0.04048756247767617,0.9287282933396482
2023-01-05-18,URXR,spontaneous,69,802,50,0.44437367710889875,1.0831997749914741,0.32902703073378475,-0.3195835515119431,0.031164531147817955,-0.6987417743603426
2023-01-05-18,SMDVL,spontaneous,69,802,50,0.3757812720998989,0.11588575264185648,0.3957923568284,1.5925133593726506,0.04050499545641402,0.9317714721173319
2023-01-05-18,RMDVL,spontaneous,69,802,50,0.4592315750321933,1.2927310343481966,0.33341107597908826,-0.19402856869281185,0.03273172570124981,-0.4251652802211139
2023-01-05-18,RID,spontaneous,69,802,50,0.4614780163590396,1.3244111335597493,0.34587895997404916,0.16304004560928964,0.035886876760547304,0.12561200737990086
2023-01-05-18,AWBL,spontaneous,69,802,50,0.35152429914941374,-0.22619454140354148,0.34667892093046015,0.18595018419550874,0.027709040778125544,-1.3019476359441522
2023-01-05-18,AUAL,spontaneous,69,802,50,0.4104239682519868,0.6044291381014409,0.3322102105789049,-0.22842023808756412,0.03182787629010618,-0.5829452779814446
2023-01-05-18,URYVL,spontaneous,69,802,50,0.43015993245853645,0.8827525897879763,0.39711003635144027,1.6302504767196193,0.024789400004387004,-1.811613194235071
2023-01-05-18,SAAVL,spontaneous,69,802,50,0.3951755932365295,0.3893912345819173,0.35719183640184893,0.4870303162500807,0.03357876947115182,-0.2773015293901657
2023-01-05-18,AWBR,spontaneous,69,802,50,0.34804446798466576,-0.27526833434939707,0.3691198526322863,0.8286376193414988,0.025938556135979444,-1.611011357653122
2023-01-05-18,ASER,spontaneous,69,802,50,0.37006949815632867,0.03533632406617455,0.3765673165692794,1.0419260674151072,0.03430457351611736,-0.1506019274684202
2023-01-05-18,ASIL,spontaneous,69,802,50,0.35250635519188256,-0.21234524452455592,0.4037728677005022,1.8210677764394185,0.027750078757741548,-1.2947838625853703
2023-01-05-18,AVHL,spontaneous,69,802,50,0.31168366126652985,-0.7880411143354928,0.2825588292749253,-1.6503896699143834,0.04353492846010843,1.4606901356057205
2023-01-05-18,AIZL,spontaneous,69,802,50,0.32987188225137093,-0.53154447745679,0.3776254213526383,1.0722292053760556,0.037051396102367615,0.32889571468661793
2023-01-05-18,RMDDL,spontaneous,69,802,50,0.4412958949991231,1.0397958180645788,0.35218805115625573,0.34372655559338994,0.026771766818875564,-1.465562372390308
2023-01-05-18,RIVR,spontaneous,69,802,50,0.3262001788020465,-0.5833241202900598,0.3544871444466109,0.40957045145175447,0.028925672509480468,-1.0895669567274207
2023-01-05-18,OLQVR,spontaneous,69,802,50,0.3229381551124688,-0.6293263162438407,0.3498725189291813,0.27741186386001404,0.04090775378834417,1.002078768804607
2023-01-05-18,RMEV,spontaneous,69,802,50,0.30989022382125053,-0.8133327947890058,0.3188743646406731,-0.6103464760630934,0.03151479565618097,-0.6375980344146431
2023-01-05-18,FLPR,spontaneous,69,802,50,0.26807637403340645,-1.4030062903151534,0.29836964652139436,-1.1975825530481847,0.03773159838102134,0.4476348682218982
2023-01-05-18,RMDVR,spontaneous,69,802,50,0.3003912153732875,-0.9472911254369327,0.3464069591708927,0.17816145206813577,0.032845266576339835,-0.40534507699196876
2023-01-06-01,URADL,spontaneous,65,802,50,0.20081838073921798,-1.7675510084328645,0.21705043622337467,-2.0952383852016365,0.03827785204605336,-0.9804528393735262
2023-01-06-01,IL2L,spontaneous,65,802,50,0.19727177450902877,-1.8260456807086203,0.21929670773592133,-2.015226060222616,0.05227623405580764,0.3066760730803782
2023-01-06-01,RMED,spontaneous,65,802,50,0.4157404264611636,1.777188332046313,0.3030476326952128,0.967986871832583,0.04712988901469009,-0.16652215020503197
2023-01-06-01,ADEL,spontaneous,65,802,50,0.22447218674053496,-1.3774254798800287,0.24089215278260465,-1.2459950222601417,0.03979646458481186,-0.8408188370946151
2023-01-06-01,URYDR,spontaneous,65,802,50,0.29395094161094576,-0.2315026645198805,0.26421075797977395,-0.4153849171717745,0.0390633618034622,-0.9082264692779641
2023-01-06-01,OLLR,spontaneous,65,802,50,0.33663197889321894,0.47244164905075725,0.28281105197212075,0.24715866195847155,0.029928110376409897,-1.7481982764554995
2023-01-06-01,AIZL,spontaneous,65,802,50,0.27932744395981485,-0.4726900552561096,0.3010797823047152,0.8978919237930756,0.039479996484090035,-0.8699175745075962
2023-01-06-01,ASKL,spontaneous,65,802,50,0.26981570876409106,-0.6295684333268416,0.3096220301519038,1.2021673005598434,0.06497763143987363,1.4745493165885177
