neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE
BAGL,7,0.948619479522722,0.9860411283908148,0.5345440110706848,0.3667814563584866,0.3114247804594046,0.0366982851665676,M2,1,7,1.0624405935956744,0.4019762340301845,0.0130589584257879,0.0029804586649729
CEPVR,11,-0.4309129225695141,-0.8507585559771045,0.0731508468796087,0.2771613624530051,0.2396553672238547,0.0333266994429403,M2,1,11,-0.8555342018884466,0.1392730307131041,-0.0101509109159914,0.0019249754651481
OLLL,16,0.3977306355936417,0.7071164906824552,-0.8860121871521622,0.3368260669849952,0.2972500168709159,0.0289405490176176,M2,1,16,0.3163544878099094,-0.3020106956157242,0.0042726810807439,0.0008530784216869
OLLR,17,0.5558917032007418,0.5812061834854277,-1.284962881246855,0.3475549656310717,0.2936634825737412,0.0267887657989542,M2,1,17,0.7015136182929362,-0.2057158515079999,0.008683288796474,0.0011689190545112
RIBL,10,1.5040639405760077,-0.1066926635954526,0.6952392729323841,0.4058981465123731,0.2646770473906814,0.0369936096747445,M2,1,10,1.817696040324202,-0.1298936514889032,0.0226993720802884,0.0015114232261463
RIBR,3,1.3433240885704631,-0.0424343433234499,0.4187462024939719,0.4001714910672384,0.2525414243696053,0.0312082277511455,M2,1,3,2.1733957620693074,-0.6841623836016962,0.0278816657701223,0.0003728111112347
RID,14,1.1226963538285692,0.5195494737276298,0.6662215579049731,0.3839786660450769,0.2930388675491709,0.038645037701051,M2,1,14,1.27146056445807,0.0739000018474415,0.0154966042831604,0.0020741197802897
RIS,3,0.0816836460312856,0.4841740272475849,-0.5405089000085342,0.3108506549878246,0.2853332781843992,0.0259973684752443,M2,1,3,0.5842408399723841,0.2329327733375263,0.0068000985543376,0.0021688186580506
URBL,15,-0.1512878586502451,-0.4285422727686079,-0.6810903260070271,0.2961863186789538,0.25726655440882,0.0280601412177239,M2,1,15,-0.4907790912642487,-0.0301847311140787,-0.0055067305972555,0.0017802339750793
URBR,9,-0.5643790302413261,-0.9724409286365724,0.0730607752503263,0.2715506650041926,0.2427844090431076,0.0333673457963841,M2,1,9,-1.03611642498388,0.1814994745306816,-0.013071033067713,0.0020078518293622
URXL,15,0.0042979764186597,-0.6770301610961516,0.3385432117432932,0.3137881466687214,0.2547452465907319,0.0362778279115584,M2,1,15,-0.0231190416519331,-0.3745638893119766,-0.0002607480420957,0.0009928829477874
URXR,14,-0.594028116259733,-1.0314791063492663,0.4571228449646713,0.2758990741873236,0.2426040670951719,0.0375662739711027,M2,1,14,-0.4478231094831915,0.0825587536766202,-0.0054605646626309,0.0020062504985909
URYVL,17,0.9653393524836064,0.4251623161191783,-0.0468322555848454,0.3726096409423964,0.2867123273565073,0.0312891365082732,M2,1,17,0.3940883420132364,0.1777157128400024,0.0046899816404398,0.0019905364401743
ADAL,12,-0.2656744263190263,1.002096815338493,-0.5194797051327116,0.2854852111158315,0.2974597556990034,0.0299052317487202,M4,2,12,0.6231498910725215,0.679211997288837,0.0071259799260648,0.003074388017953
ADAR,1,-2.0137910907358965,-1.9549487473590903,-1.927094012981138,0.1948475956308112,0.2286650465795355,0.0233496876924576,M4,2,1,-0.1584424861756149,0.0380073823244534,-0.0019005681736143,0.0013770187007186
ADEL,15,-1.0458558065020933,-0.3411785347780102,-0.5650556620464705,0.2371043077924926,0.2583739838410002,0.0307682955205872,M4,2,15,-0.3717034698665921,-0.7137183063806559,-0.0047951554460424,-0.00035833697796
ADER,8,-1.6260576689710295,-1.5983336840150697,0.5693222096897941,0.2059176255506965,0.2231144557515376,0.035783121831979,M4,2,8,-0.6754604649016689,-0.0989283399743247,-0.008141937346258,0.0014046109921568
ADLL,9,-0.9774821574303484,-0.0183129968339359,0.39777328970015,0.2511533367103388,0.2804420014472825,0.0333500727018807,M4,2,9,-0.4207477220329644,1.04703717676356,-0.0051940957972981,0.0040156731796137
ADLR,5,-0.5201062937446508,0.8652909874236592,0.3665587441551834,0.2754551185836463,0.2964851252277365,0.0332182387264004,M4,2,5,-0.0021480897206201,0.4312453099081738,0.0001709293992581,0.0026352675393143
AIBL,16,1.7689021380908436,0.5320926581344193,0.2373187742264209,0.419889617069908,0.2870621124047578,0.0335753251866625,M4,2,16,1.890975031067838,-0.2834024299530471,0.0223788706092801,0.0011224639737091
AIML,3,1.0337863595722776,1.2595180991113544,0.8391822880877179,0.3770876908253823,0.3264270373228484,0.0315059115586312,M4,2,3,0.9479728679493588,0.3449994749497923,0.0113075133477771,0.0026902627659949
AQR,4,0.3721107370552778,0.5666369737621333,0.5015021188794513,0.3290142505362897,0.2847737462036975,0.0301342204342049,M4,2,4,-0.2947788829086723,0.5025925800255154,-0.0035525470721269,0.0028358872650517
ASGL,15,0.3512701147917874,-0.2476589534380988,0.4955611648039662,0.3329395874609664,0.2674716894149582,0.0352181483430028,M4,2,15,0.5171888894433326,0.2175187657927345,0.006374750361532,0.0023380396565427
ASHL,7,-0.3399155001711725,0.8289559736431411,0.3293841680230803,0.2828518554995315,0.2940299445617301,0.0344687665049694,M4,2,7,0.5657052201449063,0.8344151691548678,0.0063022833150218,0.0035138699013882
ASKL,3,-0.8774297659454736,0.1095047201763727,0.5775158085220268,0.2541647282551321,0.2832146104582889,0.0476597420925235,M4,2,3,-0.4871551680536404,0.073869331718323,-0.0059684294046867,0.0026005216516004
AVAL,16,1.7641162821388263,0.5346223307526565,0.1780109487125085,0.4256877041616045,0.2907897818892927,0.0341332968246891,M4,2,16,1.257436570049976,-0.4007421154419026,0.0150280888878271,0.0009634115313357
AVAR,14,1.766889535157265,0.3451025023600557,0.3848945892797089,0.4244651666762538,0.2826126218584637,0.0346281515236384,M4,2,14,1.0935459975165989,-0.3175060249316156,0.0131152932748942,0.0009279610970956
AVBL,4,1.1467995550010586,0.4816832993606953,0.1082176558221663,0.4106485675911209,0.3105248002038754,0.0322468596777907,M4,2,4,1.167943710670556,-0.4787210652997034,0.0152214907331246,0.0001998135137474
AVBR,2,0.9247673256374954,0.2508875781405866,0.4950861638639561,0.3716905653678787,0.2601219685354469,0.0294563549561424,M4,2,2,-0.1515475592460685,-0.0606691591816825,-0.0024651868034654,0.0017206779062234
AVDL,16,-1.077287446104278,-1.339834314446348,0.4186412708593118,0.2356212363806991,0.2251243137092634,0.0363356112395289,M4,2,16,-0.7635044920844077,-0.5326470995216077,-0.0088492205384272,0.0006317685057367
AVDR,12,-1.1376476346502007,-1.1507533126671856,0.4086388383210821,0.2339547126330389,0.2337758238867199,0.0361810391004484,M4,2,12,-1.0853308942572284,-0.7657267283305506,-0.0135418980542756,1.619828045484786e-05
AVHL,6,-0.8060216740213204,-1.4227592595677674,-0.2418930808793145,0.2660781341654697,0.2358917710909719,0.032722159825479,M4,2,6,-1.0877719383451083,0.6943815946690209,-0.0139346198870144,0.0036348037264205
AVJL,17,-0.8136237018213152,-0.9958176258816444,-0.1411864202824103,0.2559263003480302,0.2425382489706974,0.0331235063468993,M4,2,17,-0.9058017583663752,0.0881741053853268,-0.0108776232922763,0.0016068067606908
AVJR,14,-1.1426250169566212,-1.0890465105071547,-0.5115252275682985,0.2339638416268506,0.2361120212552372,0.0301856885584076,M4,2,14,-0.8043378318330946,-1.4038171565464843,-0.0099692170657745,-0.0015811619875739
