neuron,cell_class,cluster_label,modularity_cluster_k5,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
AIYL,Interneuron,M1,1,0.09204501864330353,0.012403488966384137,0.0796415296769194,0.03877119340531015,0.014331784418101103,0.0,0.8333333333333334,10,12,12,191.0,121.0
ASEL,Sensory,M1,1,0.016955704201287933,0.0046740689819451346,0.012281635219342798,0.040655989030232285,0.009250719702867585,0.10914446942506807,0.7647058823529411,13,17,13,129.0,37.0
AWBR,Sensory,M1,1,0.007562311682474941,0.0031544514592662196,0.004407860223208721,0.04129735848830101,0.026212300366527278,0.2498774732165999,0.9333333333333333,14,15,8,40.0,19.0
RIR,Interneuron,M1,1,0.029340603621715852,0.016294354269367272,0.01304624935234858,0.04447275996984529,0.02685206149769344,0.08894108333678108,0.8461538461538461,22,26,21,103.0,70.0
AWBL,Sensory,M1,1,0.01890040093291958,0.0027191472703835206,0.01618125366253606,0.04391610159874549,0.014436885204338447,0.2304489213782739,0.625,10,16,9,74.0,28.0
AIYR,Interneuron,M1,1,0.09201693532133018,0.010734604298635533,0.08128233102269465,0.05387335991128038,0.009070448675584488,0.062147906748844434,0.7857142857142857,11,14,12,202.0,130.0
AVER,Interneuron,M2,2,0.1165810914730219,0.09841165080551273,0.018169440667509168,-0.1345850558722683,0.026970871048072945,-0.23823916580452575,0.28,7,25,44,133.0,295.0
AVEL,Interneuron,M2,2,0.05595243487605651,0.10184164083263553,-0.04588920595657902,-0.07095953086925441,0.03834526958139486,-0.3212333817522681,0.0,0,20,43,119.0,306.0
OLLR,Sensory,M2,2,0.0876623796173919,0.012087245126438337,0.07557513449095356,-0.06555554650922436,0.019145204798492722,0.04139268515822508,0.42857142857142855,9,21,19,158.0,64.0
URYVL,Sensory,M2,2,0.08229966250527844,0.004270913585161023,0.07802874892011742,-0.050768606334913084,0.015182320981533312,0.516629796003336,0.5909090909090909,13,22,6,143.0,16.0
OLLL,Sensory,M2,2,0.09125375372736552,0.010458953098362513,0.08079480062900302,-0.04797902301593892,0.03897727174678418,0.13469857389745618,0.42857142857142855,6,14,10,165.0,37.0
ALA,Interneuron,M2,2,0.017141066815769285,0.00278216788823679,0.014358898927532495,-0.04409104932471125,0.033986114234775544,0.12493873660829993,0.42857142857142855,3,7,5,25.0,12.0
AUAL,Interneuron,M2,2,0.06582022951197138,0.010422029913239124,0.05539819959873225,-0.02339549499858748,0.017243294126609087,0.15970084286751188,0.6666666666666666,8,12,8,89.0,50.0
RIS,Interneuron,M2,2,0.06890791586329502,0.008907771804385145,0.060000144058909875,-0.021928778822639647,-0.013738461894700224,0.136219747017989,0.4,10,25,18,181.0,37.0
AVKR,Interneuron,M2,2,0.00957198073195775,0.010742862780400134,-0.0011708820484423836,-0.013546221034153162,0.007062585822921329,0.1413291527964693,0.0,0,17,12,37.0,76.0
RIBR,Interneuron,M2,2,0.0349234984570542,0.08603137241365962,-0.05110787395660542,-0.008284172368143414,0.058489516438781725,-0.02020338608828695,0.0,0,20,21,61.0,226.0
AVL,Interneuron,M2,2,0.00528969133661993,0.008519537544558649,-0.003229846207938719,-0.006958940280656963,0.020297522295537006,0.048304679574555046,0.0,0,18,16,53.0,62.0
AINL,Interneuron,M2,2,0.007056379542219617,0.0014809431030809728,0.005575436439138644,-0.002740627438184688,0.016390261817846377,0.27300127206373764,0.5714285714285714,8,14,7,47.0,8.0
ASKR,Sensory,M2,2,0.005562200243510633,0.00032575064409488813,0.005236449599415745,-0.002546741821999743,0.001377435458630845,0.26884531229257996,0.75,9,12,6,55.0,26.0
RIBL,Interneuron,M2,2,0.04047821687888279,0.07857002768354703,-0.038091810804664235,-0.0017944493823752008,0.0543817177280562,-0.12493873660829995,0.0,0,17,23,82.0,218.0
BAGR,Sensory,M2,2,0.04258022267528903,0.010447116552978133,0.03213310612231089,0.0023950187880444882,0.03225587935544927,-0.03476210625921192,0.45454545454545453,5,11,12,75.0,36.0
AINR,Interneuron,M2,2,0.005723980467357753,0.00038162104649255184,0.005342359420865202,0.005004504278884714,0.008238145376039915,0.6532125137753437,0.7058823529411765,12,17,3,52.0,6.0
AIMR,Interneuron,M2,2,0.006571965548803927,0.0015644914262627333,0.005007474122541194,0.006319478465967064,0.01449705857624033,0.4586378490256493,0.8181818181818182,18,22,7,65.0,16.0
RID,Interneuron,M2,2,0.0005853074420018999,0.015981344192791486,-0.015396036750789585,0.010822756926895853,-0.023940699212057905,-0.2218487496163564,0.0,0,8,14,16.0,55.0
AVKL,Interneuron,M2,2,0.00855624187421666,0.006189088357531307,0.002367153516685353,0.013302744202360516,0.0023213032229562587,0.12493873660829993,0.6,9,15,11,35.0,73.0
URBL,Interneuron,M2,2,0.006548793402462562,0.002802876770323937,0.003745916632138625,0.015135669030457993,0.022479363056714365,0.5563025007672873,0.5882352941176471,10,17,4,63.0,16.0
CEPVR,Sensory,M2,2,0.02120251020391804,0.016660009837548638,0.0045425003663694015,0.020900538039196444,0.04032692294146094,0.02020338608828699,0.6190476190476191,13,21,20,122.0,60.0
URBR,Interneuron,M2,2,0.006507231187288028,0.006735268389075336,-0.0002280372017873086,0.021974840531445744,0.02820705192554085,0.44369749923271273,0.0,0,24,8,71.0,37.0
BAGL,Sensory,M2,2,0.038429065942661635,0.007913363950717133,0.0305157019919445,0.030090714340722444,0.01616067865186179,0.3010299956639812,0.5789473684210527,11,19,9,78.0,36.0
URXR,Sensory,M2,2,0.0407230929713531,0.013339104843401457,0.02738398812795164,0.0304554844923097,0.023895008535486265,0.08894108333678108,0.6153846153846154,16,26,21,131.0,75.0
URXL,Sensory,M2,2,0.028711974756712378,0.011889140360680226,0.016822834396032153,0.038105791540790954,0.02000503397905279,0.12493873660829993,0.782608695652174,18,23,17,89.0,70.0
AUAR,Interneuron,M2,2,0.046095057019763915,0.016006694432890448,0.030088362586873467,0.03973604462979837,0.04085272093177165,0.0,0.8,8,10,10,80.0,51.0
AVDR,Interneuron,M4,4,0.21090151016119366,0.12249785014282508,0.08840366001836858,-0.2185806460870022,0.06608332132649596,-0.18105467858723137,0.2857142857142857,8,28,43,153.0,226.0
AVDL,Interneuron,M4,4,0.17111328783878324,0.14723065944862418,0.02388262839015906,-0.19763086391642323,0.07930658984665236,-0.19312459835446155,0.16666666666666666,4,24,38,137.0,256.0
AVBR,Interneuron,M4,4,0.05887928723966122,0.10868624882783497,-0.04980696158817375,-0.15953827469621848,0.023336064654558567,-0.38021124171160603,0.0,0,19,47,56.0,335.0
SAAVR,Interneuron,M4,4,0.11232904438158076,0.011508492472794705,0.10082055190878605,-0.1553687869686359,-0.055044404788770485,0.13469857389745618,0.2857142857142857,4,14,10,108.0,44.0
SAAVL,Interneuron,M4,4,0.1566829837466338,0.013261242120661742,0.14342174162597207,-0.15128374059529345,0.0015495056890599424,0.09177037335564536,0.25,5,20,16,151.0,62.0
AVBL,Interneuron,M4,4,0.057853251710188555,0.12266369389459075,-0.0648104421844022,-0.1313519933416719,0.040314750309690534,-0.3203351508593678,0.0,0,21,45,63.0,338.0
SAADR,Interneuron,M4,4,0.08222068587691377,0.016974469968385763,0.065246215908528,-0.12045896841877868,0.018188332427289546,0.05799194697768673,0.4,6,15,13,87.0,68.0
FLPL,Sensory,M4,4,0.2544461877441418,0.012493459841190158,0.24195272790295164,-0.11494915010540331,0.080275585349633,0.32735893438633035,0.5,8,16,7,241.0,25.0
SAADL,Interneuron,M4,4,0.05100830973678828,0.0088612988911434,0.04214701084564488,-0.10106872884416557,-0.0008080246668527998,0.0,0.2857142857142857,4,14,14,59.0,75.0
AVJR,Interneuron,M4,4,0.04256236081355011,0.01889660375616006,0.02366575705739005,-0.06918595346765702,0.03374574339257468,-0.22724378150306254,0.4,6,15,26,56.0,80.0
FLPR,Sensory,M4,4,0.13701303203486362,0.0038786231223500306,0.1331344089125136,-0.05957706097164469,0.056091259137939796,0.47712125471966244,0.5294117647058824,9,17,5,170.0,11.0
ADAR,Interneuron,M4,4,0.04860864148830513,0.014153308987685553,0.03445533250061957,-0.045618133176273674,0.03226774126100346,0.048304679574555046,0.4444444444444444,8,18,16,97.0,46.0
ADAL,Interneuron,M4,4,0.048878485794602106,0.005646954271457166,0.04323153152314494,-0.050646030383513896,0.026422182501429026,0.16633142176652496,0.5238095238095238,11,21,14,86.0,32.0
RIMR,Interneuron,M4,4,0.08105451242672852,0.1036615293802206,-0.02260701695349207,-0.043059513472717026,0.04553366222730417,-0.07255066714861173,0.0,0,21,25,153.0,249.0
AVJL,Interneuron,M4,4,0.01549126360299212,0.02054021779238832,-0.0050489541893962014,-0.04296858024194646,0.022719128795274327,-0.22724378150306254,0.0,0,15,26,33.0,95.0
ADER,Sensory,M4,4,0.04368002431818755,0.01297149850444795,0.0307085258137396,-0.0379609791744908,0.05571548110876813,0.3357921019231931,0.68,17,25,11,85.0,36.0
AIBL,Interneuron,M4,4,0.08251398215472916,0.06479792377926104,0.01771605837546812,-0.036244390681468355,0.02104200560801659,-0.15678610386029457,0.5,11,22,32,171.0,258.0
ADEL,Sensory,M4,4,0.05310480475970986,0.02937179460084894,0.023733010158860923,-0.03157723490657009,0.13833551651218187,0.6989700043360189,0.5294117647058824,18,34,6,128.0,39.0
AVAL,Interneuron,M4,4,0.07560571261669896,0.4231965727357935,-0.3475908601190945,-0.02958177099802345,0.08642304526381904,-0.17271151840430066,0.0,0,42,63,266.0,660.0
ADLL,Sensory,M4,4,0.06529940863133019,0.0042960685416676535,0.06100334008966253,-0.02200110791900795,0.036459653650927494,0.3979400086720376,0.6666666666666666,16,24,9,148.0,19.0
AQR,Sensory,M4,4,0.05299178300867451,0.01344658805682739,0.03954519495184712,-0.02094442442979734,0.03929521491381827,0.2596373105057561,0.5789473684210527,11,19,10,84.0,33.0
ASHL,Sensory,M4,4,0.08065904316727207,0.0034784993803292827,0.07718054378694279,-0.017394877451153187,0.022404898303346046,0.2808266095756942,0.75,15,20,10,141.0,22.0
ADLR,Sensory,M4,4,0.06280926144434922,0.008607353784136101,0.054201907660213114,-0.016382668617624312,0.013006495613203908,0.15970084286751188,0.56,14,25,17,152.0,52.0
AVAR,Interneuron,M4,4,0.06782951621260504,0.4453720848818003,-0.3775425686691953,-0.014894558087334442,0.08479525555752501,-0.11763949786680053,0.0,0,44,58,282.0,678.0
ASHR,Sensory,M4,4,0.06355713809495303,0.008124385018273393,0.055432753076679636,-0.01287494965242357,0.021132163582522595,0.06694678963061322,0.7,14,20,17,140.0,38.0
ASGL,Sensory,M4,4,0.012147934299878121,0.0011576258977124025,0.010990308402165718,-0.005239233925971122,0.008497258453581683,-0.2041199826559248,0.75,3,4,7,67.0,17.0
ASKL,Sensory,M4,4,0.007345707190727044,0.001708518506687223,0.005637188684039821,-0.004792683917086162,0.0005737168630485047,-0.2218487496163564,0.6,3,5,9,48.0,50.0
AVHL,Interneuron,M4,4,0.007817418663888607,0.00439182917339632,0.003425589490492287,-0.003798799175509411,0.013692702285114997,0.12493873660829993,0.5652173913043478,13,23,17,47.0,37.0
AIML,Interneuron,M4,4,0.0036522831271764322,0.0017880467271204176,0.0018642364000560146,0.003309356207847096,0.005136380605689211,0.3245110915135041,0.7222222222222222,13,18,8,59.0,20.0
SMBVR,Motorneuron,M4,4,0.007025080503056345,0.025659354011582258,-0.018634273508525912,0.017112917616882176,0.02772545752301294,-0.0791812460476248,0.0,0,14,17,56.0,95.0
RICL,Interneuron,M3,3,0.09512044475331177,0.011847604121733286,0.08327284063157848,-0.14877168463682566,0.014747057898103556,0.06694678963061322,0.45,9,20,17,94.0,88.0
RICR,Interneuron,M3,3,0.09058125494541384,0.01837614067636504,0.0722051142690488,-0.12583098412413807,0.01813996832878673,0.019305155195386624,0.4090909090909091,9,22,21,99.0,105.0
IL1VL,Sensory,M3,3,0.041955871886916345,0.00672159601031829,0.035234275876598053,-0.11067723059748416,0.01822998360937942,0.1549019599857432,0.4444444444444444,4,9,6,61.0,55.0
IL1DR,Sensory,M3,3,0.05406258689777666,0.00547573292192224,0.048586853975854424,-0.08679334818896052,0.0026435777515531104,-0.04139268515822506,0.5555555555555556,5,9,10,94.0,63.0
OLQDR,Sensory,M3,3,0.014297730004859054,0.006073099297090743,0.008224630707768311,-0.0663809698349079,0.01683087900726156,-0.08715017571890014,0.5,4,8,10,28.0,49.0
OLQVL,Sensory,M3,3,0.02006232306498585,0.01746088365049776,0.00260143941448809,-0.0640467284785841,0.029003570761633773,-0.24303804868629447,0.42857142857142855,3,7,13,36.0,80.0
RMEV,Motorneuron,M3,3,0.005004056047798577,0.010931447807950192,-0.005927391760151614,-0.04974257495787291,0.005031462257574112,-0.3245110915135041,0.0,0,8,18,10.0,93.0
IL1DL,Sensory,M3,3,0.009144008851617477,0.011430569869393704,-0.002286561017776228,-0.04703990690154588,0.03363504468215044,0.05799194697768673,0.0,0,7,6,32.0,56.0
