neuron,n_recordings_te,NetTE_z,NeighborNetTE_z,NetTE,NeighborNetTE,cluster_label,cluster_sort
AUAR,7,0.2572918601562892,-0.38523169941481605,0.004604948968117946,0.0008744009168651156,M2,1
AVEL,12,1.4547974075339718,-0.28135328979818425,0.01700693660982618,0.001007040697972193,M2,1
AVER,14,0.9800856453208816,-0.21239845930776063,0.011957359807286351,0.0013365071599210567,M2,1
AVKL,2,1.1837755077614474,0.0791321885562974,0.013950165337659845,0.0017798299693180682,M2,1
AVKR,2,-0.3437957820331651,0.17807421391877437,-0.003655819440821407,0.0015657464449570168,M2,1
AVL,5,-0.08009938524846687,0.6065691549961272,-0.0009182748923633485,0.002866156433168617,M2,1
BAGL,7,1.0624405935956744,0.4019762340301845,0.013058958425787989,0.0029804586649729145,M2,1
CEPVR,11,-0.8555342018884466,0.1392730307131041,-0.010150910915991422,0.0019249754651481479,M2,1
OLLL,16,0.3163544878099094,-0.30201069561572425,0.004272681080743985,0.0008530784216869471,M2,1
OLLR,17,0.7015136182929362,-0.20571585150799995,0.008683288796474068,0.0011689190545112382,M2,1
RIBL,10,1.817696040324202,-0.1298936514889032,0.022699372080288435,0.0015114232261463118,M2,1
RIBR,3,2.1733957620693074,-0.6841623836016962,0.027881665770122382,0.00037281111123479326,M2,1
RID,14,1.27146056445807,0.07390000184744158,0.015496604283160492,0.002074119780289701,M2,1
RIS,3,0.5842408399723841,0.2329327733375263,0.00680009855433767,0.002168818658050664,M2,1
URBL,15,-0.49077909126424873,-0.030184731114078732,-0.005506730597255567,0.001780233975079399,M2,1
URBR,9,-1.03611642498388,0.1814994745306816,-0.01307103306771301,0.0020078518293622145,M2,1
URXL,15,-0.02311904165193314,-0.37456388931197665,-0.00026074804209574794,0.0009928829477874096,M2,1
URXR,14,-0.4478231094831915,0.0825587536766202,-0.005460564662630965,0.002006250498590955,M2,1
URYVL,17,0.39408834201323645,0.17771571284000245,0.004689981640439881,0.001990536440174344,M2,1
ADAL,12,0.6231498910725215,0.679211997288837,0.007125979926064829,0.0030743880179530665,M4,2
ADAR,1,-0.15844248617561496,0.0380073823244534,-0.001900568173614302,0.0013770187007186407,M4,2
ADEL,15,-0.37170346986659214,-0.7137183063806559,-0.004795155446042471,-0.00035833697796008054,M4,2
ADER,8,-0.6754604649016689,-0.09892833997432471,-0.008141937346258057,0.0014046109921568256,M4,2
