Target,Variant,Metric,Transform,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N,Level
FCV,unit_norm,NO_count,log10(x+1),-0.35747043812886964,0.015919378895419924,-0.09815546772068512,0.5212173948510728,45,region_mean
FCV,unit_norm,NO_fraction,none,0.36759169009725423,0.012986298674238258,0.3208168642951251,0.031658227782998906,45,region_mean
FCV,unit_norm,NN_count,log10(x+1),-0.4623290228492433,0.0013866751918479479,-0.26837944664031615,0.07466052422955395,45,region_mean
FCV,unit_norm,NN_fraction,none,-0.49003417824006806,0.0006334630621461365,-0.524901185770751,0.0002140961601600321,45,region_mean
FCV,unit_norm,InterOutDegree,log10(x+1),-0.4005106113165489,0.006405658777290289,-0.16310935441370222,0.284362673239645,45,region_mean
FCV,unit_norm,OO_count_partial_degree,"log10(x+1), residualized by log inter-out-degree",0.5628328721939222,5.7081812205646114e-05,0.5367588932806323,0.00014403196767509357,45,region_mean
PreDCA,unit_norm,OO_count,log10(x+1),0.13225057543888086,0.38648372895727096,0.02239789196310935,0.8838899722582754,45,region_mean
PreDCA,unit_norm,OO_fraction,none,-0.10605557961962347,0.48807002734061833,0.09249011857707509,0.5456569981860686,45,region_mean
PreDCA,unit_norm,ON_count,log10(x+1),0.1484080389647546,0.3305840555853898,0.004743083003952569,0.9753314561783323,45,region_mean
PreDCA,unit_norm,ON_fraction,none,0.15404564990640732,0.31233376907257615,0.21633728590250328,0.15347525082245259,45,region_mean
PreDCA,unit_norm,NO_count,log10(x+1),0.129062585254317,0.3981348256893302,-0.06666666666666667,0.66347999859838,45,region_mean
PreDCA,unit_norm,NO_fraction,none,-0.08147853800404965,0.5946705947163612,-0.09025032938076416,0.5554680374256554,45,region_mean
PreDCA,unit_norm,NN_count,log10(x+1),0.12765902346398444,0.40332841736292113,-0.11462450592885375,0.45339727942727204,45,region_mean
PreDCA,unit_norm,NN_fraction,none,-0.020032228629058648,0.896082406908741,-0.1670619235836627,0.27269388848962456,45,region_mean
PreDCA,unit_norm,InterOutDegree,log10(x+1),0.13687548774505492,0.36994272087837654,-0.046245059288537546,0.7629165805265092,45,region_mean
PreDCA,unit_norm,OO_count_partial_degree,"log10(x+1), residualized by log inter-out-degree",-0.018264287815712973,0.905209868945113,0.08550724637681158,0.5765143675912943,45,region_mean
