Subject,Target,Variant,Metric,Transform,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N,Level
15,PreDCA,rank,ON_fraction,none,0.23416709943048677,0.12156168441202216,0.24874835309617915,0.09941179569238465,45,subject
15,PreDCA,rank,NO_fraction,none,-0.19077213121777872,0.2093725278042532,-0.11264822134387352,0.4612728484630994,45,subject
15,PreDCA,rank,NN_fraction,none,-0.16461282318625114,0.2798863076414075,-0.27470355731225293,0.06781682094109502,45,subject
15,PreDCA,rank,InterOutDegree,log10(x+1),0.11680251405228774,0.4448033092216792,-0.07878787878787878,0.606935113499285,45,subject
16,PostDCA,rank,OO_fraction,none,0.6878490841711995,1.7845258257926133e-07,0.5861660079051383,2.328388930912762e-05,45,subject
16,PostDCA,rank,ON_fraction,none,-0.662750121960046,7.054938357773526e-07,-0.5878787878787878,2.1740904109639573e-05,45,subject
16,PostDCA,rank,NO_fraction,none,0.7467433516667754,3.86042188925691e-09,0.681159420289855,2.6080603104183746e-07,45,subject
16,PostDCA,rank,NN_fraction,none,-0.46036048157798426,0.0014624687536862406,-0.42555994729907765,0.003564115230914069,45,subject
16,PostDCA,rank,InterOutDegree,log10(x+1),-0.4792912322001717,0.0008650675186714284,-0.47628458498023707,0.000942199368351777,45,subject
16,PreDCA,rank,OO_fraction,none,-0.054838874316198744,0.7205020869789152,0.14387351778656127,0.3457362499913754,45,subject
16,PreDCA,rank,ON_fraction,none,0.28779848422444754,0.05523011421880821,0.31067193675889326,0.03779122263307305,45,subject
16,PreDCA,rank,NO_fraction,none,-0.21611709975687016,0.15390443138209062,-0.22318840579710145,0.14055596501943704,45,subject
16,PreDCA,rank,NN_fraction,none,-0.09150901492323887,0.5499443454187757,-0.20079051383399207,0.18598299991183895,45,subject
16,PreDCA,rank,InterOutDegree,log10(x+1),0.17594067988996545,0.2476488295339985,0.03504611330698287,0.8192179514817974,45,subject
17,PostDCA,rank,OO_fraction,none,0.7647430454783891,9.646486326891558e-10,0.6412384716732541,2.076237839203102e-06,45,subject
17,PostDCA,rank,ON_fraction,none,-0.6917630510913191,1.4225740929385688e-07,-0.612516469038208,7.753431857645585e-06,45,subject
17,PostDCA,rank,NO_fraction,none,0.8125411213562401,1.2264948829382452e-11,0.7466403162055335,3.889891844478537e-09,45,subject
17,PostDCA,rank,NN_fraction,none,-0.5407502418362629,0.00012562011466012548,-0.49275362318840576,0.0005844651154355065,45,subject
17,PostDCA,rank,InterOutDegree,log10(x+1),-0.3795764540380866,0.010121078876106597,-0.37667984189723314,0.010758439455532455,45,subject
17,PreDCA,rank,OO_fraction,none,-0.02206860698375472,0.8855855565179974,0.15111989459815545,0.32172364930851305,45,subject
17,PreDCA,rank,ON_fraction,none,0.20063633279383053,0.1863282145317038,0.17812911725955202,0.24172250836950154,45,subject
17,PreDCA,rank,NO_fraction,none,-0.16743473371403594,0.27160983146341644,-0.09907773386034253,0.5172909678459399,45,subject
17,PreDCA,rank,NN_fraction,none,-0.07090254339751693,0.6434878777318652,-0.1458498023715415,0.3390807445662031,45,subject
17,PreDCA,rank,InterOutDegree,log10(x+1),0.11123551127669011,0.4669474209081202,0.013438735177865613,0.9301812259845265,45,subject
18,PostDCA,rank,OO_fraction,none,0.7054886830043201,6.242614560669574e-08,0.5803689064558628,2.9282104653711273e-05,45,subject
18,PostDCA,rank,ON_fraction,none,-0.6689831258751545,5.076220089893677e-07,-0.6146245059288538,7.069928489340001e-06,45,subject
18,PostDCA,rank,NO_fraction,none,0.7087220555852513,5.106779675767254e-08,0.6828722002635046,2.3688307275137173e-07,45,subject
18,PostDCA,rank,NN_fraction,none,-0.4676839055678779,0.001197867401276919,-0.4515151515151515,0.0018504073135346293,45,subject
18,PostDCA,rank,InterOutDegree,log10(x+1),-0.4614750065210704,0.0014191169766358497,-0.38115942028985506,0.00978667396412807,45,subject
18,PreDCA,rank,OO_fraction,none,0.025468254524332823,0.8681054544444602,0.09459815546772068,0.5364995042356457,45,subject
18,PreDCA,rank,ON_fraction,none,0.24077142536489748,0.11110834470043646,0.14361001317523056,0.3466296767545392,45,subject
18,PreDCA,rank,NO_fraction,none,-0.2858051236453651,0.05701472010100083,-0.09973649538866929,0.5144954504255181,45,subject
18,PreDCA,rank,NN_fraction,none,-0.038175893605593245,0.8033794103730865,-0.14519104084321474,0.34129037916509813,45,subject
18,PreDCA,rank,InterOutDegree,log10(x+1),0.043195478384951455,0.7781416857082298,-0.09077733860342556,0.5531521001241132,45,subject
12,PostDCA,unit_norm,OO_fraction,none,0.6944430521316086,1.215559397970617e-07,0.6350461133069828,2.7898728571665727e-06,45,subject
12,PostDCA,unit_norm,ON_fraction,none,-0.6447641861375287,1.7496081715545474e-06,-0.5525691699604742,8.293032617707529e-05,45,subject
12,PostDCA,unit_norm,NO_fraction,none,0.7377603928625844,7.392838266392726e-09,0.639262187088274,2.283153421075255e-06,45,subject
12,PostDCA,unit_norm,NN_fraction,none,-0.44511915677556074,0.0021851660206502997,-0.44044795783926216,0.002462411180618501,45,subject
12,PostDCA,unit_norm,InterOutDegree,log10(x+1),-0.37245015959492134,0.011750785384048367,-0.4044795783926219,0.005854348393567965,45,subject
12,PreDCA,unit_norm,OO_fraction,none,-0.047296023571152694,0.7576897288560204,0.05322793148880104,0.7283942593726386,45,subject
