atlas_region,base_region,side,n_rois_total,n_rois_present,window_frames,overlap_window_frames,step_frames,n_windows,FCS,FCV,FCS_z,FCV_z
LH_L,LH,L,11,11,30,22,8,247,0.17597648393243678,0.25528392498154856,0.05118360680406355,0.6554695228470938
LO_L,LO,L,39,23,30,22,8,247,0.09437184519168222,0.24800972199915242,-1.6074995849321014,0.018924290274644106
MB_L,MB,L,16,16,30,22,8,247,0.21757424484437923,0.24776716824992412,0.8966932236984303,-0.002300912415945002
ME_L,ME,L,131,17,30,22,8,247,0.14885683221459936,0.23451305713452694,-0.5000462149836361,-1.1621312419941918
OTU_L,OTU,L,4,4,30,22,8,247,0.1509165665855498,0.2538724925519707,-0.4581803745944605,0.5319590040562104
PLP_L,PLP,L,13,13,30,22,8,247,0.1768339645426026,0.25684011288773956,0.06861262428725005,0.7916471900183336
PVLP_L,PVLP,L,11,11,30,22,8,247,0.15284219782672118,0.2675158176259489,-0.4190402935586276,1.7258483625596839
SCL_L,SCL,L,8,8,30,22,8,247,0.18296221359225923,0.24717419787282788,0.19317446109325126,-0.054190097734357186
SIP_L,SIP,L,7,7,30,22,8,247,0.22322469749840307,0.24388522753074465,1.0115434452980225,-0.3419987272696888
SLP_L,SLP,L,23,23,30,22,8,247,0.17638990751177636,0.26975135262555533,0.0595867901610347,1.9214738007956105
SMP_L,SMP,L,22,22,30,22,8,247,0.24450585687640222,0.2405317360842118,1.4441009800857718,-0.6354534188598066
SPS_L,SPS,L,15,15,30,22,8,247,0.22930134852305764,0.24931634662572594,1.1350565086749844,0.13326337028381366
VES_L,VES,L,6,6,30,22,8,247,0.24438081634059144,0.23770247488938076,1.4415594256075528,-0.8830341819523827
WED_L,WED,L,1,1,30,22,8,247,0.12645324349606216,0.23914099786378482,-0.9554180739298009,-0.7571530450747297
EB,EB,midline,3,3,30,22,8,247,0.20928668733367325,0.24055351243312997,0.7282416190387353,-0.6335478312483193
FB,FB,midline,13,13,30,22,8,247,0.2488535466075675,0.24001421817991211,1.5324714451873627,-0.6807399685409288
FLA,FLA,midline,6,6,30,22,8,247,0.17593761841830735,0.2523040016144315,0.050393632410212344,0.39470473289552543
NO,NO,midline,1,1,30,22,8,247,0.14623402554894627,0.24608240062019357,-0.5533569752372649,-0.14973023289169907
PB,PB,midline,1,1,30,22,8,247,0.1009642924488161,0.2506721290543018,-1.4735025275766576,0.2519041125622463
PRW,PRW,midline,7,7,30,22,8,247,0.18718878956297172,0.24687367815460703,0.2790831867416574,-0.0804877408425346
SAD,SAD,midline,20,20,30,22,8,247,0.23403984800832636,0.24533962253885291,1.2313705120398502,-0.2147286729518581
SOG,SOG,midline,74,71,30,22,8,247,0.26765073679239704,0.2485135306864542,1.9145402085881094,0.06301118457861664
