,AL_R,AME_R,AMMC_R,ATL_R,AVLP_R,CRE_R,EPA_R,GA_R,GOR_R,IB_R,ICL_R,IPS_R,IVLP_R,LAL_R,LB_R,LH_R,LO_R,LOP_R,MB_R,ME_R,OTU_R,PLP_R,PVLP_R,SCL_R,SIP_R,SLP_R,SMP_R,SPS_R,VES_R,WED_R,AL_L,AME_L,AMMC_L,ATL_L,AVLP_L,CRE_L,EPA_L,GA_L,GOR_L,IB_L,ICL_L,IPS_L,IVLP_L,LAL_L,LB_L,LH_L,LO_L,MB_L,ME_L,OTU_L,PLP_L,PVLP_L,SCL_L,SIP_L,SLP_L,SMP_L,SPS_L,VES_L,WED_L,EB,FB,FLA,NO,PB,PRW,SAD,SOG
ICL_L,0.06987275719818911,0.06591880001799465,0.11512182993429755,0.25433254470626415,0.21753748100914516,0.11475095562759395,0.17626429876670344,0.0897673751354342,0.2128868434151167,0.3081601624328055,0.34983255569224514,0.22519986598982442,0.07800654515236594,0.17703872016321884,0.19300510181936054,0.14380940604320566,0.10480270565860728,-0.02178507856482655,0.1605263644065152,0.06202897601426289,0.32920244272217636,0.2947507682058447,0.2487014882482856,0.24994141851911916,0.34099906741764946,0.2389732297009841,0.21312678375739513,0.32715408514943806,0.12058530376075782,0.09514714688982796,0.12520654631146091,0.1684129151168891,0.23410344306240047,0.2891149221620662,0.2239661343557843,0.23076736398497483,0.30066654719233227,0.09881602784260299,0.2784038293118841,0.32679028501536184,,0.3880235304158588,0.21904959205590116,0.28563019677031376,0.2548803506703738,0.26141599150042727,0.1512146741679685,0.21763151086115576,0.16501263660441912,0.28139942283233105,0.33811513777739305,0.23235134686520587,0.2954923298454048,0.36147933269319266,0.348781816361718,0.3991626282675033,0.44573926224339344,0.2725678761961006,0.12509402568896982,0.1430845094322951,0.3286480092696152,0.11258120650601354,0.22233133289872514,0.18780452165268843,0.21792513507640796,0.22508823363532723,0.3367284222634185
IPS_L,0.07219043651231384,0.07729059473992239,0.13067178912227503,0.16379416416171064,0.19454188299599115,0.09116462844821976,0.1585216987260659,0.08056558419569482,0.12229046716990123,0.23182210582591262,0.26433147591522704,0.27869303131287576,0.07006504038713593,0.11750925092148191,0.15027717212856057,0.15619129868604145,0.10843535364409418,0.028753510436541795,0.12056022394554093,0.05479849147259706,0.21731866785428328,0.27884038183852267,0.2364395752630238,0.2237483280303658,0.2687574080273444,0.2435913564607139,0.11340480558536495,0.317009474695679,0.09208287171942185,0.03795435641585191,0.15048730451459927,0.18533289260748229,0.2723331764427123,0.24256742357284392,0.255824556451683,0.18647005541159617,0.19541644550782633,0.1343329678778466,0.22342457641707922,0.2743897961626048,0.3880235304158588,,0.3024830903371547,0.27646993949980125,0.1747605295923467,0.20147259602311862,0.19570575068895196,0.22788334534927734,0.2122522479221074,0.2188346557043915,0.2944420708205762,0.2687749032973715,0.21891579019094992,0.28217739835574746,0.34202397796339523,0.28107002452449487,0.4438363095478679,0.23740916915882665,0.15429772519099297,0.09946344276461967,0.1878463505241296,0.05093009404127339,0.09865156064650821,0.15684691969722864,0.18497865413021491,0.2520871813318773,0.3735312708503395
IVLP_L,0.0776059476617226,0.06979465600280355,0.09552092688475822,0.10765137496123445,0.11959219036796397,0.08774285555769112,0.09900502054263963,0.04605870295706231,0.12748915309591694,0.13638554998722516,0.13825978659803184,0.1357625894462228,0.07155401776825183,0.07475244727512154,0.019216955862354924,0.05723410034255287,0.07322548987329297,-0.005561691333694376,0.06494614306584223,0.10286794427847339,0.06404718902677972,0.09770468732875655,0.14332327396261998,0.09380166118621434,0.10001074480904297,0.0968061924171125,0.1232723257191449,0.1746348598255561,0.14575602549744718,0.11290037440563089,0.7746227889167152,0.1339001831493005,0.7778323885158971,0.06536068356485646,0.31315695042420283,0.5432644022189398,0.14709678227232717,0.3671471524829524,0.17068949877873613,0.16463036596471528,0.21904959205590116,0.3024830903371547,,0.622819619381476,0.24495195057068722,0.17013598406081265,0.11819136976961966,0.6525601459071342,0.5011685565208285,0.07006901286840288,0.13529625900376302,0.19605344007058476,0.1545363751554443,0.17242650071235358,0.09548602272534408,0.1621859265985778,0.2844707494788249,0.42108396762050837,0.16280943207157142,0.3308224249013741,0.28394261885087735,0.2409384702018892,0.09131586693214566,0.08343274971029084,0.2220651894979375,0.8213942631294853,0.6248664113576052
LAL_L,0.03689048816129445,0.01352814423073053,0.08943994492216993,0.0655397658907009,0.13453353791420353,0.14610206384116572,0.15374539000560014,0.07793970636623772,0.1436931449594259,0.12907983465828352,0.18440475471232695,0.10024521291927106,-0.0070483763492477656,0.203332154533502,0.12202023436609459,0.04296491717274916,0.057912441903276574,-0.018649998952366926,0.08679971634997995,0.05319437736888423,0.164766585408627,0.11497009263669898,0.11805527018235151,0.10955933762124177,0.284750071741633,0.11602847507083977,0.18682269559351178,0.17590258360146602,0.25080563315069127,0.12244152948203749,0.6470843445554919,0.13426895014190413,0.6596794161297049,0.08005089526940637,0.3465019081241304,0.767773334072669,0.23761228414823637,0.412020700870587,0.2413707767794218,0.16932824171461194,0.28563019677031376,0.27646993949980125,0.622819619381476,,0.40437170444999027,0.17219829528030717,0.09518790709421318,0.7450392797649631,0.39316179739454615,0.15289497435062763,0.1354309274027452,0.20319527170860288,0.16648330516217236,0.3290622742725951,0.18461994082248168,0.25226673020213947,0.33132919532280825,0.5448925449750442,0.18269060362886397,0.4935706388129879,0.43626805814265873,0.3423160804088721,0.2026837272593103,0.035820163745959026,0.4297851868509221,0.6387935647748502,0.5519050327794219
LB_L,0.04352767377510207,0.028133293518585414,0.09683383235836077,0.04305814453193292,0.11872111537035646,0.014976486567217435,0.13205869418077798,0.009238477729742607,0.11316067631863555,0.12967345839732058,0.19224471237575486,0.052999637453055186,0.029199489817527114,0.12538822252126147,0.17428251785114934,0.048135203547372295,0.04389788050591938,-0.016980030586158757,0.04501052787772527,0.042125709278524104,0.22278755563377264,0.12410032003929439,0.07886025848890832,0.13304033864837192,0.26284574198221733,0.14511427805506386,0.14343324772893878,0.11405805736765556,0.1680733699152182,0.046487040748395055,0.2225941256374905,0.09486246241001141,0.2757443838737724,0.09532610887743113,0.15338890593280255,0.38386376795400434,0.11620115046954982,0.15004949305578408,0.10536201077309905,0.07548514251957313,0.2548803506703738,0.1747605295923467,0.24495195057068722,0.40437170444999027,,0.059167575731908624,0.07741369505723415,0.3531111993408396,0.19548671182485625,0.174088548972113,0.10842796230546353,0.06026656489592114,0.08413065281208333,0.27244745803358755,0.22339419726666954,0.22465199382074538,0.20227906915943278,0.3148833392793595,0.11109205241492282,0.23001282285570887,0.3313401715371848,0.13728210100195246,0.2112417882336643,0.026318485500832534,0.17681345220010442,0.258331579478483,0.23767596319589296
LH_L,0.10080593621343194,0.0661350877306081,0.12816950138507463,0.18323946483565215,0.14436368323341275,0.20438349919994528,0.14004669213848497,0.15966513705712818,0.20004484294310423,0.22109630166530336,0.2041884511063509,0.19050221308417287,0.11101980313615353,0.15769067987552673,0.07222968725504557,0.1312741928939851,0.09784766934637211,0.01037923780683266,0.17970779293564598,0.10098889965973115,0.13120772439052317,0.21565890194271287,0.18273385675451512,0.24874337575999786,0.16529956543799262,0.1799364973634702,0.2994108544808703,0.3167915882369285,0.09908638568783579,0.08842924561281783,0.06426426915565943,0.10599164983449949,0.119557349755983,0.13358214933534535,0.21338946835127534,0.21116618483010605,0.18328401616971038,0.0997303491479506,0.2759101212223585,0.23532133662662194,0.26141599150042727,0.20147259602311862,0.17013598406081265,0.17219829528030717,0.059167575731908624,,0.1254500445121756,0.1829828398595828,0.06431164588639701,0.19825030876811867,0.3714033182454013,0.35037530608652423,0.3931533327808807,0.26472741943456024,0.21983415284901028,0.34831857905032204,0.2956594196233054,0.10886562287643446,0.14089025817538126,0.20760253345738033,0.22372870967343547,0.14667724638372312,0.06534244413940078,0.10467693326251981,0.16901686573792288,0.17840964129734982,0.21710721124529175
LO_L,0.040250967539043774,0.014307293873600782,0.05980173078436793,0.07710432792685715,0.09511457337255058,0.05414300736158649,0.10736750376972592,0.039644915158558745,0.09006073169960727,0.06773052158575082,0.12926403934754402,0.12826953094305568,0.059665951912709875,0.08749321987887802,0.0626080014624139,0.06729419395159779,0.04015219205616208,0.022612444534690426,0.09241459477878541,0.0661709578481582,0.11642414912098815,0.10805186619486062,0.09228639004956828,0.13601511798191981,0.1589628882887151,0.05277716950654818,0.07721607054127494,0.13216189120963676,0.08974455727517854,-0.013059637586530856,0.055937128379066225,0.07960320482132316,0.10993006708489746,0.12728767520191925,0.14371558715380078,0.06146016282650175,0.09757644652495862,0.01777324357801984,0.0757487417370277,0.08587859871998516,0.1512146741679685,0.19570575068895196,0.11819136976961966,0.09518790709421318,0.07741369505723415,0.1254500445121756,,0.10576374903277669,0.10463613647706467,0.15964638054755476,0.1374320111613106,0.13864829751987176,0.06694422208474052,0.11586650639210605,0.15703341285584999,0.14016657085905557,0.15303172707663254,0.14179869741342796,0.10841962395434791,0.004751288490378164,0.09113182004285234,0.036628253271502854,0.061115091692973,0.17016864043922866,0.0608182712151718,0.10888697118342851,0.16940937608222173
MB_L,0.038277165615942466,0.05251816999561225,0.07175243652410625,0.08268965197432983,0.06767214291732804,0.15966207225314957,0.10841467804539391,0.06627380884122169,0.14590762273592522,0.10575145581899294,0.15814856484179812,0.07222334065697031,0.019148301955327574,0.08051380904076569,0.006776607865684473,0.07204584748416325,0.07510827284146983,0.008673829056684547,0.14488947912786715,0.07572783532963409,0.1062108285068572,0.10443432646358634,0.11393272080496405,0.113818392349852,0.10030145376311758,0.12382708084750695,0.1820223213650422,0.17103469171753952,0.1676450616007045,0.09743770457650318,0.7299116382805201,0.10438206223964216,0.6253211181931319,0.09669095142706777,0.29317962687117566,0.8168908064423303,0.18797084363896177,0.45368863683691635,0.18940679484135603,0.17052262163177126,0.21763151086115576,0.22788334534927734,0.6525601459071342,0.7450392797649631,0.3531111993408396,0.1829828398595828,0.10576374903277669,,0.4185263633893931,0.12543975603097468,0.14973639820809068,0.1524219089620557,0.19413213056737466,0.23148195272964814,0.13408155537206634,0.215087631357238,0.2815568120372463,0.42757159555217755,0.15682425270545644,0.48412728611274286,0.3745482667426575,0.2529739232475564,0.15804732052386863,0.08186985062235431,0.28029158135260046,0.6520189160904338,0.543385812688453
ME_L,0.055929214875534296,0.04353770726745211,0.08868428087062277,0.07806677698958496,0.12196255238587225,0.03922574998878816,0.08046806649482141,0.04293321641275154,0.08042835815014791,0.1046706405383448,0.11790665014277435,0.1301670003070134,0.06879986029566994,0.08684213917941866,0.07595922526498589,0.05173885970666763,0.10087289623228027,0.01048094290355786,0.054111941016628175,0.07634305124602804,0.14759405367717388,0.07984197353859346,0.09370493167127117,0.07645070763975985,0.17407085629616514,0.09401456345893586,0.030431129065670283,0.12055605914139025,0.11662981739203608,0.0633317918037366,0.4732484329484313,0.12128104556442393,0.5292863128409883,0.09900369926879883,0.21590282358672197,0.32545595474330036,0.11515262779456409,0.22283501994229574,0.05917772749412488,0.06852277284883988,0.16501263660441912,0.2122522479221074,0.5011685565208285,0.39316179739454615,0.19548671182485625,0.06431164588639701,0.10463613647706467,0.4185263633893931,,0.13110938891348983,0.07760211985159066,0.08262311485169459,0.027877141009386524,0.15445959085394978,0.1661596819701857,0.10941121825891217,0.20782527828453343,0.30606645893075535,0.08965747557516372,0.15571202670456372,0.1549312916295867,0.13429774982507833,0.07506854830852706,0.09016041178727591,0.15702701143181397,0.5029794381236703,0.41140545284760144
OTU_L,0.07982929149598518,0.07824591821368769,0.10129655355084236,0.12846900232660355,0.26515077909941104,0.10294189959596899,0.08737654244406563,0.11230303735452467,0.11567361380877576,0.14653661001132784,0.23268797028402569,0.19576145398398948,0.08112207671534663,0.1572250410627389,0.18005463266087723,0.09571412724168474,0.019524592203856352,-0.03674778151245758,0.13357903871794613,0.03596916340215147,0.6600511704801548,0.23913034233962174,0.24793539631938344,0.26141482828041684,0.45695023887568276,0.14405301317596395,0.08220704324658477,0.24369479955771658,0.0578320394571765,0.023397743296911418,-0.03828891594166046,0.16025636246595681,0.12101042754985844,0.08041148646527276,0.25243891133108604,0.18164575313310316,0.13209570870218187,-0.03115473421825933,0.1416456762035302,0.06784081070114545,0.28139942283233105,0.2188346557043915,0.07006901286840288,0.15289497435062763,0.174088548972113,0.19825030876811867,0.15964638054755476,0.12543975603097468,0.13110938891348983,,0.09978144301472963,0.17327573178852115,0.08529985629645202,0.334490226321997,0.4783135494254982,0.23991632767880397,0.23210092917035677,0.15852304441943438,0.10206875865078326,0.014039772162534417,0.06943241192228472,0.09600369008550201,0.051908183232070464,0.01726847982292369,0.170594447364499,0.018784183846703665,0.09729538302725324
PLP_L,0.015809697732008875,0.05040352358831553,0.08587847986382995,0.4055467376557107,0.0647877824689763,0.10729087205501914,0.10904286475286551,0.05517864629587626,0.15917790207261528,0.32493725604649165,0.2680941127346233,0.11901158743881081,0.039866498986783204,0.07670455162228662,0.038985106285799556,0.2688563788603795,0.1140266645728961,0.004757990651511349,0.12249237562885351,0.04536528336574693,0.08180559526371058,0.285937656447676,0.19008494269287568,0.2575017315014811,0.07563042590302238,0.28632552227074176,0.2643903672114497,0.28063915178145804,0.08904068583155028,0.08767499425212819,0.04740273478197741,0.11692329607847399,0.06426875062969321,0.35371946497643103,0.2545618162139768,0.14780314941534103,0.12473578181453351,0.07807172307163017,0.20067682757413746,0.4154175400209843,0.33811513777739305,0.2944420708205762,0.13529625900376302,0.1354309274027452,0.10842796230546353,0.3714033182454013,0.1374320111613106,0.14973639820809068,0.07760211985159066,0.09978144301472963,,0.4230253578122207,0.488321100851815,0.20795945492289702,0.12577154498211737,0.3376536777333511,0.3811970576681649,0.12237978153598121,0.09270728868444125,0.19670354597282744,0.24939041124371178,0.10664288431706721,0.12781001522524144,0.24685057980806835,0.1400995677825335,0.11999912429054226,0.27803614877705435
