side_key,big_group,side,n_cells,n_postdca_cells,mean_DCA,median_DCA,mean_DCA_positive,median_DCA_positive,mean_PostDCA,median_PostDCA,weighted_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,weighted_PostDCA_positive,mean_mapping_confidence
EPA_L,inferior/ventrolateral protocerebrum,L,11,11,-0.036958172186836225,0.0,0.12020460996699135,0.0,0.04462938875036893,0.0006428902440458,0.029507320755042716,0.06412710403649449,0.0121188405916985,0.03602698187674595,0.4958012371726421
EPA_R,inferior/ventrolateral protocerebrum,R,6,5,0.0,0.0,0.16666666666666666,0.0,-0.00657379717374752,-0.0083315788881911,-0.0025288846822902754,0.014347098754916621,0.0121664068561652,0.017033680052981007,0.40536775259003516
IB_L,inferior/ventrolateral protocerebrum,L,128,116,0.006526175683855169,0.0,0.01864962167252799,0.0,0.02833032923853501,0.00563849740871275,0.014912922914310749,0.035614652838614806,0.011546790282776949,0.02352096199705111,0.5125734054859159
IB_R,inferior/ventrolateral protocerebrum,R,127,120,0.001306281193177713,0.0,0.009118918486486353,0.0,0.01790257175838792,0.00224048916035825,0.0032563545126219904,0.03646383760264528,0.0101617260432277,0.021459672799393963,0.48862198478796903
ICL_L,optic/lateral protocerebrum,L,566,525,0.0018436013109097025,5.873659349928741e-26,0.005736479181490455,5.873659349928741e-26,0.004285002349058885,0.001576847129987,0.0025058751708901227,0.014131625992980281,0.0051010546740766,0.012184731338581554,0.5842391617747914
ICL_R,optic/lateral protocerebrum,R,555,523,0.0023333783589819797,1.5522565850796698e-16,0.006486711351691083,1.5522565850796698e-16,0.002224263591846723,0.0004454394264763,-8.354191682332492e-05,0.014220834523240121,0.0054922392270029,0.011337642997979288,0.5858062218790072
LAL_L,inferior/ventrolateral protocerebrum,L,678,673,0.00444471787200784,0.0001443163092578,0.009057368058063155,0.0001443163092578,0.015852586194945825,0.006198014247349,0.01011765050252352,0.03723124912729418,0.0186091877155498,0.03619012536932918,0.6596443212903678
LAL_R,inferior/ventrolateral protocerebrum,R,564,558,0.004686234778174885,0.00020686785398130002,0.010445010983650894,0.00020686785398130002,-0.009054463137215004,0.00134648712861075,-0.006558999955747991,0.02341613453081603,0.016167833436253498,0.02644439371862228,0.572951818645014
LH_L,olfactory system,L,1973,1600,-0.003370112567205264,-0.0008003869546784,0.003246765714791227,0.0,0.007387842115165561,0.00233555249906455,0.002910283714404394,0.015420739639468375,0.005842091335728199,0.012561916019240048,0.8518090925584685
LH_R,olfactory system,R,883,869,-0.0038315285602107383,-0.0026945406635897,0.006758597650192266,0.0,-0.0006085538974333466,0.0013259296296449,0.00010509401842564048,0.01588078812926203,0.0080922848997061,0.01341263958371991,0.689672012879583
LO_R,optic/lateral protocerebrum,R,13874,11532,0.00028372637201015357,1.8092510220601898e-17,0.0005034053053201734,1.8092510220601898e-17,0.0041107082158664265,0.0002145368832466,-0.0013184433832705267,0.011947508867866476,0.00112246849276495,0.01324030752688184,0.8501190356744897
MB_L,mushroom body,L,2472,2145,0.0043636591433225645,0.00282289302980635,0.006207651387977428,0.00282289302980635,-0.056956416710198646,3.324955995114724e-17,-0.013538794889797411,0.12384454919448817,0.0270413933980255,0.05919307426330976,0.4136311737999303
MB_R,mushroom body,R,2148,1744,0.014797375125493843,0.0096849784307864,0.01684877171861101,0.0096849784307864,-0.12521921102850772,-0.06914948296668144,-0.07446208826580492,0.05411194003681177,8.623349641779428e-08,0.03334021805047867,0.40875492398595237
ME_L,optic/lateral protocerebrum,L,36515,17370,0.0005390230409539235,-1.558948327760365e-07,0.0006102240924676243,0.0,-0.007525464560619601,0.0039061802667059,-0.005228855315470042,0.013740716782674429,0.00548055350174525,0.01985407100794993,0.994461520538547
ME_R,optic/lateral protocerebrum,R,31830,21836,2.238180104643225e-05,4.2627870090753235e-07,0.0002932789735983558,4.2627870090753235e-07,-0.00039667328743698096,9.922016105359214e-05,0.0008932046222368724,0.00621679200896934,0.0003974951721755,0.010535098196605678,0.858800393592437
NO,central complex,midline,551,423,-0.005896346690309119,-2.19007819851588e-06,0.002518848555765324,0.0,0.0006600283274300134,-1.7986142879411363e-18,-0.004889507240073863,0.0034522715914941994,2.9773609147982616e-06,0.0016741534284070482,0.8673370857574221
PB,central complex,midline,225,209,-0.01063077452811234,-0.0012108423767231,0.009449669756934431,0.0,-0.009404044569384783,-0.0029372491285815,-0.006955287554324591,0.00332176010359863,0.0003807412547167,0.0021112975170187323,0.9048306619428226
PLP_L,optic/lateral protocerebrum,L,2059,1985,0.0003905629049024432,2.377930435305477e-08,0.0011216464363277305,2.377930435305477e-08,-0.003964087838005638,0.003758809545063,7.856235532037163e-05,0.02476274923678118,0.012292789528335,0.01706469765890804,0.7700866608891361
PLP_R,optic/lateral protocerebrum,R,1281,1245,0.0008509111053925961,4.678504377515653e-06,0.002499900498046668,4.678504377515653e-06,-0.021067924480257624,0.0013463658216869,-0.009946296819014357,0.01822396015278432,0.0086302020707637,0.015072394200549755,0.6265558351546512
PVLP_L,optic/lateral protocerebrum,L,1481,1466,0.009306012744395742,0.001303396213092,0.011188421020288702,0.001303396213092,0.009317829304169415,0.008435401134298751,0.002831050601105604,0.021087722817399915,0.01408356363088675,0.017570699195548968,0.8244799690086044
PVLP_R,optic/lateral protocerebrum,R,779,777,0.011833690889078785,0.0001651436112197,0.013616397588560272,0.0001651436112197,0.00940694485669298,0.0115448298396476,0.007793377497374015,0.01902231076503273,0.0135563955143062,0.016688072848099738,0.5618858943691621
SIP_L,superior protocerebrum,L,390,367,0.004623004697077775,0.0,0.007446616719794229,0.0,0.010544627094206093,0.0030578338707518,-0.005648795858196649,0.026564468898378036,0.0097612859736094,0.02084500500213358,0.6560311035244404
SIP_R,superior protocerebrum,R,204,200,0.0005801079887404443,0.0,0.006319448773598961,0.0,-0.026860709363876682,-0.01325535185456505,-0.02941901575297183,0.011335190571311715,0.0044321318149772495,0.010627395576766526,0.45030186981550024
SLP_R,superior protocerebrum,R,2109,1772,0.001557485254822254,3.943850959086043e-05,0.003613639380515508,3.943850959086043e-05,0.0030321882445310416,0.00060989061767405,-0.0014794074019769332,0.021567144722360678,0.00749090107589105,0.018522233343890963,0.7158258815251507
SMP_L,superior protocerebrum,L,2354,1918,0.0031532077074873112,8.516569169664468e-05,0.005142337181692666,8.516569169664468e-05,0.011035003700357471,0.00019926544580995,0.0026817782830321265,0.02832020251885322,0.0032393342661994,0.020429183757090064,0.7231721053743017
SMP_R,superior protocerebrum,R,2223,1858,0.002471303625883625,0.0001367879316448,0.005030026995181396,0.0001367879316448,0.0035258651882899357,4.2101634949438555e-06,-0.0024943567079249254,0.02497908987383099,0.00324125147819295,0.018459670311014288,0.6658621599437181
SPS_L,superior protocerebrum,L,1212,1090,0.0031251663458868573,0.00046227830697389996,0.0071940301181283575,0.00046227830697389996,-0.0036950516419438496,0.00142693402414515,-0.0010248396908340762,0.01740810448780275,0.0067800394743139005,0.01780511073931672,0.6950357408655378
SPS_R,superior protocerebrum,R,1338,1191,0.002592490418520893,0.00033486635593375,0.005822606341556372,0.00033486635593375,-0.0038048179207285393,0.0018635815662679,-0.00451322568822554,0.018553188113667154,0.0084667384292398,0.018663551068064502,0.6784913277173099
VES_L,inferior/ventrolateral protocerebrum,L,590,570,0.004903276535505631,0.0006381048412725,0.013421366834489381,0.0006381048412725,0.005556477753682605,0.00513195869384265,-0.003307810600864151,0.025619269144541372,0.015536708546387449,0.019737413561308106,0.7839261241043048
VES_R,inferior/ventrolateral protocerebrum,R,515,496,0.005919670463240947,0.0006108835195216,0.014554933943319096,0.0006108835195216,-0.0027180829781906263,0.00496273969531975,-0.01281220110263109,0.0197899974539006,0.015161606618654,0.018562040655005798,0.704125823162281
WED_R,optic/lateral protocerebrum,R,789,756,0.0011441118771768296,0.0,0.0061784847771976,0.0,0.0018852715074512546,0.00114662397749625,0.0007532254037463822,0.012935449669569003,0.0050387277225694,0.012562399367342342,0.7920838311249557
