Subject,Region,RegionID,Division,PostDCA,NeuronCount,RegionwiseMetastability,GlobalMetastability,TraceSource,MetastabilityDefinition
12,lRa,10,Hind,-0.07359117253107073,254,0.15069464029679536,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lT,11,Hind,-0.7772193815657938,1266,0.05972801141789328,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,laRF,12,Hind,-0.564318946902863,264,0.06955420240757694,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,limRF,13,Hind,-1.4314709184810288,382,0.10802939621987603,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lpRF,14,Hind,-0.6214145198808102,485,0.1168809505868307,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rCb,37,Hind,-0.5336652505464933,1685,0.07815118838757716,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rMON,36,Hind,-0.20825183989935483,1120,0.17193301475537368,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rMOS1,38,Hind,0.16364639867929043,1483,0.10412192136440998,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rMOS2,39,Hind,0.8422349936180663,554,0.08999372065926942,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rMOS3,40,Hind,-0.5651363701456422,1496,0.11253431471728743,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rMOS4,41,Hind,0.12590502818072719,1113,0.06757184028920048,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rMOS5,42,Hind,0.14031625821006288,1530,0.10317480704800674,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
