Subject,StimulusIndex,Region,RegionID,Division,PostDCA,FCShift,NTimepoints,SpotNeuronCount,StimNeuronCount,Definition
12,0,lOB,20,Tel,0.8396904821626903,4.149554361472191,44,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lCb,1,Hind,-0.23156409707923123,1.2155319322542357,1196,1625,1625,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lMON,0,Hind,-0.1885718314625819,0.6662002521433138,1196,863,863,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lMOS1,2,Hind,0.20229532589358945,1.2354939084138505,1196,1419,1419,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lMOS2,3,Hind,-0.007147165310974443,1.2308050087119824,1196,558,558,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lMOS3,4,Hind,-0.5280442068802194,1.0547783700568334,1196,1297,1297,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lMOS4,5,Hind,0.1781221791123736,1.111767179003182,1196,882,882,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lMOS5,6,Hind,0.07904857777849517,1.150789846487609,1196,1182,1182,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lNX,35,Hind,0.5159242026090447,1.089146721116042,1196,381,381,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lRa,10,Hind,-0.07359117253107073,1.8909663059115782,1196,254,254,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lT,11,Hind,-0.7772193815657938,1.4896442138908057,1196,1266,1266,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,laRF,12,Hind,-0.564318946902863,1.12931964628114,1196,264,264,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,limRF,13,Hind,-1.4314709184810288,1.3833147518690476,1196,382,382,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,lpRF,14,Hind,-0.6214145198808102,1.3340767614252307,1196,485,485,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rCb,37,Hind,-0.5336652505464933,1.7619637067713718,1196,1685,1685,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rMON,36,Hind,-0.20825183989935483,1.4818693602190642,1196,1120,1120,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rMOS1,38,Hind,0.16364639867929043,1.9704132384084665,1196,1483,1483,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rMOS2,39,Hind,0.8422349936180663,1.5249673537115407,1196,554,554,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rMOS3,40,Hind,-0.5651363701456422,2.0745014061474003,1196,1496,1496,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rMOS4,41,Hind,0.12590502818072719,1.4271350251934003,1196,1113,1113,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rMOS5,42,Hind,0.14031625821006288,1.110877024331342,1196,1530,1530,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rNX,71,Hind,-0.6893400895121092,1.0725236506909248,1196,484,484,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rRa,46,Hind,-0.7676411283127857,2.147159450340126,1196,201,201,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rT,47,Hind,-1.0407411074881572,1.3694395010244784,1196,1437,1437,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,raRF,48,Hind,-0.6631233902290617,1.6021854250627432,1196,208,208,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rimRF,49,Hind,-1.54619502907132,1.3629952361899231,1196,436,436,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,3,rpRF,50,Hind,0.10367599956677641,1.2403141918429323,1196,535,535,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lOB,20,Tel,0.8396904821626903,1.3289751310282776,150,223,223,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
12,9,lP,22,Tel,1.231407127758574,1.4890267928725507,150,933,933,sqrt(sum_j((FC_stimulus_ij - FC_spot_ij)^2)); diagonal excluded
